as_of,value,status
1991-01-01,5.64706,ok
1991-02-01,5.3125,ok
1991-03-01,4.82115,ok
1991-04-01,4.80993,ok
1991-05-01,5.03486,ok
1991-06-01,4.69592,ok
1991-07-01,4.36782,ok
1991-08-01,3.79939,ok
1991-09-01,3.39623,ok
1991-10-01,2.84858,ok
1991-11-01,3.06657,ok
1991-12-01,2.98063,ok
1992-01-01,2.67261,ok
1992-02-01,2.81899,ok
1992-03-01,3.18991,ok
1992-04-01,3.18283,ok
1992-05-01,3.0236,ok
1992-06-01,3.01471,ok
1992-07-01,3.15712,ok
1992-08-01,3.07467,ok
1992-09-01,2.9927,ok
1992-10-01,3.27988,ok
1992-11-01,3.12046,ok
1992-12-01,2.96671,ok
1993-01-01,3.2538,ok
1993-02-01,3.24675,ok
1993-03-01,3.01941,ok
1993-04-01,3.15638,ok
1993-05-01,3.22119,ok
1993-06-01,2.99786,ok
1993-07-01,2.84698,ok
1993-08-01,2.84091,ok
1993-09-01,2.764,ok
1993-10-01,2.75229,ok
1993-11-01,2.74455,ok
1993-12-01,2.81096,ok
1994-01-01,2.45098,ok
1994-02-01,2.51572,ok
1994-03-01,2.65178,ok
1994-04-01,2.36439,ok
1994-05-01,2.28849,ok
1994-06-01,2.4948,ok
1994-07-01,2.69896,ok
1994-08-01,2.90055,ok
1994-09-01,2.96552,ok
1994-10-01,2.60989,ok
1994-11-01,2.60274,ok
1994-12-01,2.5974,ok
1995-01-01,2.87081,ok
1995-02-01,2.86299,ok
1995-03-01,2.78722,ok
1995-04-01,3.125,ok
1995-05-01,3.11864,ok
1995-06-01,3.0426,ok
1995-07-01,2.83019,ok
1995-08-01,2.61745,ok
1995-09-01,2.54521,ok
1995-10-01,2.74431,ok
1995-11-01,2.60347,ok
1995-12-01,2.53165,ok
1996-01-01,2.7907,ok
1996-02-01,2.71703,ok
1996-03-01,2.84392,ok
1996-04-01,2.83267,ok
1996-05-01,2.82709,ok
1996-06-01,2.82152,ok
1996-07-01,2.88336,ok
1996-08-01,2.8123,ok
1996-09-01,3.00457,ok
1996-10-01,3.06189,ok
1996-11-01,3.25309,ok
1996-12-01,3.37882,ok
1997-01-01,3.03814,ok
1997-02-01,3.03226,ok
1997-03-01,2.76527,ok
1997-04-01,2.43434,ok
1997-05-01,2.23785,ok
1997-06-01,2.23357,ok
1997-07-01,2.16561,ok
1997-08-01,2.29008,ok
1997-09-01,2.2194,ok
1997-10-01,2.08597,ok
1997-11-01,1.89036,ok
1997-12-01,1.69705,ok
1998-01-01,1.63112,ok
1998-02-01,1.4402,ok
1998-03-01,1.37672,ok
1998-04-01,1.4384,ok
1998-05-01,1.68856,ok
1998-06-01,1.62297,ok
1998-07-01,1.74564,ok
1998-08-01,1.61692,ok
1998-09-01,1.4268,ok
1998-10-01,1.48607,ok
1998-11-01,1.48423,ok
1998-12-01,1.60692,ok
1999-01-01,1.66667,ok
1999-02-01,1.66667,ok
1999-03-01,1.7284,ok
1999-04-01,2.28113,ok
1999-05-01,2.09102,ok
1999-06-01,1.9656,ok
1999-07-01,2.14461,ok
1999-08-01,2.26438,ok
1999-09-01,2.62997,ok
1999-10-01,2.56254,ok
1999-11-01,2.62035,ok
1999-12-01,2.6764,ok
2000-01-01,2.79296,ok
2000-02-01,3.21797,ok
2000-03-01,3.76214,ok
2000-04-01,3.01386,ok
2000-05-01,3.13253,ok
2000-06-01,3.73494,ok
2000-07-01,3.59928,ok
2000-08-01,3.35129,ok
2000-09-01,3.4565,ok
2000-10-01,3.45033,ok
2000-11-01,3.44418,ok
2000-12-01,3.43602,ok
2001-01-01,3.7212,ok
2001-02-01,3.52941,ok
2001-03-01,2.98246,ok
2001-04-01,3.21826,ok
2001-05-01,3.56308,ok
2001-06-01,3.19396,ok
2001-07-01,2.72148,ok
2001-08-01,2.72148,ok
2001-09-01,2.59217,ok
2001-10-01,2.12766,ok
2001-11-01,1.89437,ok
2001-12-01,1.60367,ok
2002-01-01,1.1959,ok
2002-02-01,1.13636,ok
2002-03-01,1.36286,ok
2002-04-01,1.64399,ok
2002-05-01,1.24083,ok
2002-06-01,1.06922,ok
2002-07-01,1.46561,ok
2002-08-01,1.74746,ok
2002-09-01,1.516,ok
2002-10-01,2.02703,ok
2002-11-01,2.25352,ok
2002-12-01,2.48027,ok
2003-01-01,2.75746,ok
2003-02-01,3.14607,ok
2003-03-01,3.02521,ok
2003-04-01,2.17513,ok
2003-05-01,1.89415,ok
2003-06-01,1.94878,ok
2003-07-01,2.05556,ok
2003-08-01,2.21607,ok
2003-09-01,2.37832,ok
2003-10-01,2.04194,ok
2003-11-01,1.92837,ok
2003-12-01,2.0352,ok
2004-01-01,2.02629,ok
2004-02-01,1.68845,ok
2004-03-01,1.74008,ok
2004-04-01,2.29258,ok
2004-05-01,2.89776,ok
2004-06-01,3.16767,ok
2004-07-01,2.93958,ok
2004-08-01,2.54743,ok
2004-09-01,2.53917,ok
2004-10-01,3.19091,ok
2004-11-01,3.62162,ok
2004-12-01,3.34232,ok
2005-01-01,2.84487,ok
2005-02-01,3.05303,ok
2005-03-01,3.20684,ok
2005-04-01,3.36179,ok
2005-05-01,2.86929,ok
2005-06-01,2.54103,ok
2005-07-01,3.06716,ok
2005-08-01,3.64693,ok
2005-09-01,4.74183,ok
2005-10-01,4.3501,ok
2005-11-01,3.33855,ok
2005-12-01,3.33855,ok
2006-01-01,4.01879,ok
2006-02-01,3.63825,ok
2006-03-01,3.41792,ok
2006-04-01,3.61384,ok
2006-05-01,3.97727,ok
2006-06-01,4.18172,ok
2006-07-01,4.10467,ok
2006-08-01,3.92657,ok
2006-09-01,2.01207,ok
2006-10-01,1.40633,ok
2006-11-01,1.9687,ok
2006-12-01,2.52398,ok
2007-01-01,2.07577,ok
2007-02-01,2.42026,ok
2007-03-01,2.7982,ok
2007-04-01,2.59292,ok
2007-05-01,2.70989,ok
2007-06-01,2.69277,ok
2007-07-01,2.31789,ok
2007-08-01,1.89745,ok
2007-09-01,2.83383,ok
2007-10-01,3.6107,ok
2007-11-01,4.37327,ok
2007-12-01,4.10881,ok
2008-01-01,4.2947,ok
2008-02-01,4.14296,ok
2008-03-01,3.9749,ok
2008-04-01,3.90376,ok
2008-05-01,4.08841,ok
2008-06-01,4.93597,ok
2008-07-01,5.49751,ok
2008-08-01,5.30802,ok
2008-09-01,4.95332,ok
2008-10-01,3.73106,ok
2008-11-01,1.09992,ok
2008-12-01,-0.022228,ok
2009-01-01,-0.113586,ok
2009-02-01,0.00846314,ok
2009-03-01,-0.446479,ok
2009-04-01,-0.576324,ok
2009-05-01,-1.01576,ok
2009-06-01,-1.22917,ok
2009-07-01,-1.95876,ok
2009-08-01,-1.48384,ok
2009-09-01,-1.37794,ok
2009-10-01,-0.223968,ok
2009-11-01,1.91459,ok
2009-12-01,2.81412,ok
2010-01-01,2.62111,ok
2010-02-01,2.15134,ok
2010-03-01,2.28617,ok
2010-04-01,2.20677,ok
2010-05-01,2.00355,ok
2010-06-01,1.12156,ok
2010-07-01,1.34078,ok
2010-08-01,1.15018,ok
2010-09-01,1.11831,ok
2010-10-01,1.1667,ok
2010-11-01,1.08454,ok
2010-12-01,1.43779,ok
2011-01-01,1.70078,ok
2011-02-01,2.1249,ok
2011-03-01,2.61924,ok
2011-04-01,3.07723,ok
2011-05-01,3.45897,ok
2011-06-01,3.50232,ok
2011-07-01,3.57988,ok
2011-08-01,3.755,ok
2011-09-01,3.81262,ok
2011-10-01,3.52227,ok
2011-11-01,3.45143,ok
2011-12-01,3.06207,ok
2012-01-01,3.00877,ok
2012-02-01,2.89818,ok
2012-03-01,2.58288,ok
2012-04-01,2.27316,ok
2012-05-01,1.73794,ok
2012-06-01,1.65387,ok
2012-07-01,1.41751,ok
2012-08-01,1.68593,ok
2012-09-01,1.94972,ok
2012-10-01,2.15568,ok
2012-11-01,1.79602,ok
2012-12-01,1.7595,ok
2013-01-01,1.68406,ok
2013-02-01,2.01814,ok
2013-03-01,1.51875,ok
2013-04-01,1.13881,ok
2013-05-01,1.39039,ok
2013-06-01,1.71579,ok
2013-07-01,1.88547,ok
2013-08-01,1.53881,ok
2013-09-01,1.09473,ok
2013-10-01,0.876799,ok
2013-11-01,1.23287,ok
2013-12-01,1.51284,ok
2014-01-01,1.55776,ok
2014-02-01,1.12047,ok
2014-03-01,1.61269,ok
2014-04-01,2.01513,ok
2014-05-01,2.16695,ok
2014-06-01,2.05898,ok
2014-07-01,1.97424,ok
2014-08-01,1.7151,ok
2014-09-01,1.68405,ok
2014-10-01,1.60954,ok
2014-11-01,1.23152,ok
2014-12-01,0.653121,ok
2015-01-01,-0.229931,ok
2015-02-01,-0.0870315,ok
2015-03-01,-0.0220313,ok
2015-04-01,-0.104031,ok
2015-05-01,0.0350332,ok
2015-06-01,0.179572,ok
2015-07-01,0.225686,ok
2015-08-01,0.241304,ok
2015-09-01,0.00884296,ok
2015-10-01,0.127617,ok
2015-11-01,0.436318,ok
2015-12-01,0.638725,ok
2016-01-01,1.2375,ok
2016-02-01,0.847278,ok
2016-03-01,0.891616,ok
2016-04-01,1.17263,ok
2016-05-01,1.07848,ok
2016-06-01,1.07929,ok
2016-07-01,0.868363,ok
2016-08-01,1.05532,ok
2016-09-01,1.54864,ok
2016-10-01,1.68592,ok
2016-11-01,1.68433,ok
2016-12-01,2.0508,ok
2017-01-01,2.51039,ok
2017-02-01,2.81036,ok
2017-03-01,2.4412,ok
2017-04-01,2.17622,ok
2017-05-01,1.85634,ok
2017-06-01,1.64057,ok
2017-07-01,1.72511,ok
2017-08-01,1.92812,ok
2017-09-01,2.18057,ok
2017-10-01,2.02076,ok
2017-11-01,2.17249,ok
2017-12-01,2.12993,ok
2018-01-01,2.15132,ok
2018-02-01,2.26347,ok
2018-03-01,2.33095,ok
2018-04-01,2.471,ok
2018-05-01,2.78192,ok
2018-06-01,2.80755,ok
2018-07-01,2.85412,ok
2018-08-01,2.64292,ok
2018-09-01,2.33206,ok
2018-10-01,2.49203,ok
2018-11-01,2.14733,ok
2018-12-01,2.00238,ok
2019-01-01,1.48759,ok
2019-02-01,1.51886,ok
2019-03-01,1.88319,ok
2019-04-01,2.00058,ok
2019-05-01,1.79591,ok
2019-06-01,1.67119,ok
2019-07-01,1.82633,ok
2019-08-01,1.73764,ok
2019-09-01,1.6845,ok
2019-10-01,1.73397,ok
2019-11-01,2.09229,ok
2019-12-01,2.31953,ok
2020-01-01,2.59977,ok
2020-02-01,2.34132,ok
2020-03-01,1.49404,ok
2020-04-01,0.313047,ok
2020-05-01,0.198201,ok
2020-06-01,0.716656,ok
2020-07-01,0.996865,ok
2020-08-01,1.28107,ok
2020-09-01,1.39102,ok
2020-10-01,1.23039,ok
2020-11-01,1.17575,ok
2020-12-01,1.32042,ok
2021-01-01,1.37384,ok
2021-02-01,1.66982,ok
2021-03-01,2.66782,ok
2021-04-01,4.13308,ok
2021-05-01,4.91826,ok
2021-06-01,5.29563,ok
2021-07-01,5.24517,ok
2021-08-01,5.15202,ok
2021-09-01,5.35122,ok
2021-10-01,6.23504,ok
2021-11-01,6.90197,ok
2021-12-01,7.17434,ok
2022-01-01,7.55881,ok
2022-02-01,7.93728,ok
2022-03-01,8.5722,ok
2022-04-01,8.23175,ok
2022-05-01,8.53817,ok
2022-06-01,8.97936,ok
2022-07-01,8.46258,ok
2022-08-01,8.22258,ok
2022-09-01,8.19211,ok
2022-10-01,7.75881,ok
2022-11-01,7.12286,ok
2022-12-01,6.4046,ok
2023-01-01,6.32718,ok
2023-02-01,5.95782,ok
2023-03-01,4.91772,ok
2023-04-01,4.95008,ok
2023-05-01,4.13185,ok
2023-06-01,3.07062,ok
2023-07-01,3.28775,ok
2023-08-01,3.7225,ok
2023-09-01,3.68721,ok
2023-10-01,3.25127,ok
2023-11-01,3.13335,ok
2023-12-01,3.31591,ok
2024-01-01,3.08834,ok
2024-02-01,3.15707,ok
2024-03-01,3.48683,ok
2024-04-01,3.3608,ok
2024-05-01,3.24428,ok
2024-06-01,2.97026,ok
2024-07-01,2.94148,ok
2024-08-01,2.60714,ok
2024-09-01,2.42648,ok
2024-10-01,2.57884,ok
2024-11-01,2.71947,ok
2024-12-01,2.87069,ok
2025-01-01,2.99098,ok
2025-02-01,2.80158,ok
2025-03-01,2.38198,ok
2025-04-01,2.32539,ok
2025-05-01,2.37727,ok
2025-06-01,2.68045,ok
2025-07-01,2.74262,ok
2025-08-01,2.93859,ok
2025-09-01,3.02257,ok
2025-11-01,2.9883,ok
2025-12-01,3.00226,ok
2026-01-01,2.82868,ok
2026-02-01,2.66459,ok
2026-03-01,3.32021,ok
2026-04-01,3.94703,ok
2026-05-01,4.27003,ok
2026-06-01,3.72653,ok
