as_of,value,status
2006-01-02,101.415,ok
2006-01-03,100.756,ok
2006-01-04,100.229,ok
2006-01-05,100.299,ok
2006-01-06,100.024,ok
2006-01-09,100.179,ok
2006-01-10,100.144,ok
2006-01-11,99.871,ok
2006-01-12,100.064,ok
2006-01-13,99.9675,ok
2006-01-16,99.9715,ok
2006-01-17,100.245,ok
2006-01-18,100.409,ok
2006-01-19,100.186,ok
2006-01-20,99.9017,ok
2006-01-23,99.3783,ok
2006-01-24,99.3434,ok
2006-01-25,99.348,ok
2006-01-26,99.4798,ok
2006-01-27,99.6433,ok
2006-01-30,99.7144,ok
2006-01-31,99.4311,ok
2006-02-01,99.6132,ok
2006-02-02,99.7916,ok
2006-02-03,100.118,ok
2006-02-06,100.137,ok
2006-02-07,100.176,ok
2006-02-08,100.488,ok
2006-02-09,100.212,ok
2006-02-10,100.322,ok
2006-02-13,100.395,ok
2006-02-14,100.399,ok
2006-02-15,100.449,ok
2006-02-16,100.518,ok
2006-02-17,100.34,ok
2006-02-20,100.345,ok
2006-02-21,100.235,ok
2006-02-22,100.388,ok
2006-02-23,100.196,ok
2006-02-24,100.259,ok
2006-02-27,100.072,ok
2006-02-28,99.7695,ok
2006-03-01,99.8355,ok
2006-03-02,99.5969,ok
2006-03-03,99.7024,ok
2006-03-06,99.9834,ok
2006-03-07,100.564,ok
2006-03-08,100.856,ok
2006-03-09,100.772,ok
2006-03-10,100.957,ok
2006-03-13,100.856,ok
2006-03-14,100.312,ok
2006-03-15,100.212,ok
2006-03-16,99.9049,ok
2006-03-17,99.8614,ok
2006-03-20,100.049,ok
2006-03-21,100.472,ok
2006-03-22,100.496,ok
2006-03-23,100.826,ok
2006-03-24,100.777,ok
2006-03-27,100.836,ok
2006-03-28,100.799,ok
2006-03-29,101.047,ok
2006-03-30,100.57,ok
2006-03-31,100.56,ok
2006-04-03,100.62,ok
2006-04-04,100.132,ok
2006-04-05,100.079,ok
2006-04-06,100.158,ok
2006-04-07,100.419,ok
2006-04-10,100.409,ok
2006-04-11,100.29,ok
2006-04-12,100.359,ok
2006-04-13,100.476,ok
2006-04-14,100.47,ok
2006-04-17,99.8719,ok
2006-04-18,99.6747,ok
2006-04-19,99.3467,ok
2006-04-20,99.4974,ok
2006-04-21,99.4345,ok
2006-04-24,99.117,ok
2006-04-25,98.9687,ok
2006-04-26,98.8907,ok
2006-04-27,98.5149,ok
2006-04-28,98.1412,ok
2006-05-01,97.9085,ok
2006-05-02,97.6571,ok
2006-05-03,97.5572,ok
2006-05-04,97.4878,ok
2006-05-05,97.2585,ok
2006-05-08,97.1945,ok
2006-05-09,96.9578,ok
2006-05-10,96.6391,ok
2006-05-11,96.5383,ok
2006-05-12,96.8788,ok
2006-05-15,97.3588,ok
2006-05-16,97.1959,ok
2006-05-17,97.4725,ok
2006-05-18,97.7033,ok
2006-05-19,97.933,ok
2006-05-22,97.9377,ok
2006-05-23,97.7045,ok
2006-05-24,98.3936,ok
2006-05-25,97.8423,ok
2006-05-26,97.8995,ok
2006-05-29,97.8936,ok
2006-05-30,97.588,ok
2006-05-31,97.7705,ok
2006-06-01,97.7726,ok
2006-06-02,97.5544,ok
2006-06-05,97.3681,ok
2006-06-06,98.1449,ok
2006-06-07,98.1641,ok
2006-06-08,98.9313,ok
2006-06-09,98.5471,ok
2006-06-12,98.5494,ok
2006-06-13,98.9201,ok
2006-06-14,98.8338,ok
2006-06-15,98.8846,ok
2006-06-16,98.9127,ok
2006-06-19,99.145,ok
2006-06-20,99.0117,ok
2006-06-21,98.5544,ok
2006-06-22,99.0856,ok
2006-06-23,99.4216,ok
2006-06-26,99.3634,ok
2006-06-27,99.219,ok
2006-06-28,99.392,ok
2006-06-29,99.2158,ok
2006-06-30,98.2483,ok
2006-07-03,98.0371,ok
2006-07-04,98.0221,ok
2006-07-05,98.308,ok
2006-07-06,98.138,ok
2006-07-07,97.7508,ok
2006-07-10,97.9813,ok
2006-07-11,98.2132,ok
