as_of,value,status
1991-01-01,100,ok
1991-02-01,100.4,ok
1991-03-01,100.46,ok
1991-04-01,100.3,ok
1991-05-01,100.35,ok
1991-06-01,100.48,ok
1991-07-01,100.5,ok
1991-08-01,100.33,ok
1991-09-01,100.59,ok
1991-10-01,100.88,ok
1991-11-01,101.35,ok
1991-12-01,101.83,ok
1992-01-01,102.2,ok
1992-02-01,102.94,ok
1992-03-01,102.78,ok
1992-04-01,102.51,ok
1992-05-01,102.54,ok
1992-06-01,102.46,ok
1992-07-01,102.83,ok
1992-08-01,103.26,ok
1992-09-01,103.67,ok
1992-10-01,103.97,ok
1992-11-01,104.24,ok
1992-12-01,104.16,ok
1993-01-01,104.22,ok
1993-02-01,104,ok
1993-03-01,104.32,ok
1993-04-01,104.97,ok
1993-05-01,105.2,ok
1993-06-01,105.56,ok
1993-07-01,105.62,ok
1993-08-01,106.01,ok
1993-09-01,106.4,ok
1993-10-01,106.61,ok
1993-11-01,106.95,ok
1993-12-01,107.47,ok
1994-01-01,107.74,ok
1994-02-01,107.93,ok
1994-03-01,108.31,ok
1994-04-01,108.6,ok
1994-05-01,108.99,ok
1994-06-01,109.17,ok
1994-07-01,109.3,ok
1994-08-01,109.59,ok
1994-09-01,109.63,ok
1994-10-01,109.9,ok
1994-11-01,110.1,ok
1994-12-01,110.13,ok
1995-01-01,110.44,ok
1995-02-01,111.04,ok
1995-03-01,110.88,ok
1995-04-01,111.15,ok
1995-05-01,111.3,ok
1995-06-01,111.66,ok
1995-07-01,112.18,ok
1995-08-01,112.47,ok
1995-09-01,112.7,ok
1995-10-01,112.78,ok
1995-11-01,113,ok
1995-12-01,113.47,ok
1996-01-01,113.88,ok
1996-02-01,114.05,ok
1996-03-01,114.47,ok
1996-04-01,114.7,ok
1996-05-01,114.96,ok
1996-06-01,115.07,ok
1996-07-01,115.47,ok
1996-08-01,115.49,ok
1996-09-01,115.77,ok
1996-10-01,115.88,ok
1996-11-01,116.18,ok
1996-12-01,116.58,ok
1997-01-01,116.72,ok
1997-02-01,117,ok
1997-03-01,117.44,ok
1997-04-01,117.66,ok
1997-05-01,118.13,ok
1997-06-01,118.18,ok
1997-07-01,118.47,ok
1997-08-01,118.95,ok
1997-09-01,119.1,ok
1997-10-01,119.7,ok
1997-11-01,120.05,ok
1997-12-01,120.47,ok
1998-01-01,120.93,ok
1998-02-01,121.79,ok
1998-03-01,122.18,ok
1998-04-01,122.71,ok
1998-05-01,123.22,ok
1998-06-01,123.99,ok
1998-07-01,124.33,ok
1998-08-01,124.86,ok
1998-09-01,125.66,ok
1998-10-01,126.18,ok
1998-11-01,127.02,ok
1998-12-01,127.59,ok
1999-01-01,128.29,ok
1999-02-01,128.85,ok
1999-03-01,129.39,ok
1999-04-01,130.01,ok
1999-05-01,130.79,ok
1999-06-01,131.36,ok
1999-07-01,132.11,ok
1999-08-01,132.93,ok
1999-09-01,133.33,ok
1999-10-01,134.09,ok
1999-11-01,134.64,ok
1999-12-01,135.31,ok
2000-01-01,136.88,ok
2000-02-01,136.75,ok
2000-03-01,137.76,ok
2000-04-01,138.73,ok
2000-05-01,139.27,ok
2000-06-01,140.22,ok
2000-07-01,140.96,ok
2000-08-01,141.53,ok
2000-09-01,142.38,ok
2000-10-01,143.17,ok
2000-11-01,144.05,ok
