as_of,value,status
1993-12-31,-0.2893,ok
1994-01-07,-0.3662,ok
1994-01-14,-0.1055,ok
1994-01-21,-0.3429,ok
1994-01-28,-0.2119,ok
1994-02-04,-0.5138,ok
1994-02-11,-0.3068,ok
1994-02-18,-0.296,ok
1994-02-25,-0.2652,ok
1994-03-04,-0.1982,ok
1994-03-11,-0.2213,ok
1994-03-18,-0.1409,ok
1994-03-25,-0.2243,ok
1994-04-01,-0.0993,ok
1994-04-08,-0.0815,ok
1994-04-15,-0.0178,ok
1994-04-22,-0.165,ok
1994-04-29,-0.0822,ok
1994-05-06,-0.3733,ok
1994-05-13,-0.1426,ok
1994-05-20,-0.0461,ok
1994-05-27,-0.1865,ok
1994-06-03,-0.0425,ok
1994-06-10,0.0428,ok
1994-06-17,-0.186,ok
1994-06-24,-0.087,ok
1994-07-01,-0.146,ok
1994-07-08,0.0051,ok
1994-07-15,-0.092,ok
1994-07-22,-0.067,ok
1994-07-29,-0.2079,ok
1994-08-05,-0.1229,ok
1994-08-12,-0.303,ok
1994-08-19,-0.3366,ok
1994-08-26,-0.3111,ok
1994-09-02,-0.1953,ok
1994-09-09,-0.2871,ok
1994-09-16,-0.2836,ok
1994-09-23,-0.3261,ok
1994-09-30,-0.2058,ok
1994-10-07,-0.2233,ok
1994-10-14,0.0022,ok
1994-10-21,-0.159,ok
1994-10-28,-0.2039,ok
1994-11-04,-0.1651,ok
1994-11-11,-0.2391,ok
1994-11-18,-0.3989,ok
1994-11-25,-0.1878,ok
1994-12-02,-0.1907,ok
1994-12-09,-0.1838,ok
1994-12-16,-0.2111,ok
1994-12-23,-0.1554,ok
1994-12-30,-0.0237,ok
1995-01-06,-0.2668,ok
1995-01-13,-0.0248,ok
1995-01-20,-0.3501,ok
1995-01-27,-0.3391,ok
1995-02-03,-0.3538,ok
1995-02-10,-0.4378,ok
1995-02-17,-0.2068,ok
1995-02-24,-0.2406,ok
1995-03-03,-0.1885,ok
1995-03-10,-0.1117,ok
1995-03-17,-0.2193,ok
1995-03-24,-0.3509,ok
1995-03-31,-0.4495,ok
1995-04-07,-0.3139,ok
1995-04-14,-0.2744,ok
1995-04-21,-0.2313,ok
1995-04-28,-0.4239,ok
1995-05-05,-0.2823,ok
1995-05-12,-0.1627,ok
1995-05-19,-0.3568,ok
1995-05-26,-0.3189,ok
1995-06-02,-0.0759,ok
1995-06-09,-0.1986,ok
1995-06-16,-0.1569,ok
1995-06-23,-0.1522,ok
1995-06-30,-0.2637,ok
1995-07-07,-0.251,ok
1995-07-14,-0.1262,ok
1995-07-21,-0.4306,ok
1995-07-28,-0.2778,ok
1995-08-04,-0.2348,ok
1995-08-11,-0.257,ok
1995-08-18,-0.3668,ok
1995-08-25,-0.2138,ok
1995-09-01,-0.1435,ok
1995-09-08,-0.2361,ok
1995-09-15,-0.3319,ok
1995-09-22,-0.2808,ok
1995-09-29,-0.3999,ok
1995-10-06,-0.0602,ok
1995-10-13,-0.2173,ok
1995-10-20,-0.19,ok
1995-10-27,-0.1331,ok
1995-11-03,-0.1943,ok
1995-11-10,-0.3188,ok
1995-11-17,-0.3229,ok
1995-11-24,-0.4572,ok
1995-12-01,-0.3055,ok
1995-12-08,-0.3813,ok
1995-12-15,-0.4061,ok
1995-12-22,-0.2925,ok
1995-12-29,-0.0558,ok
1996-01-05,-0.4474,ok
1996-01-12,-0.1936,ok
1996-01-19,-0.2097,ok
1996-01-26,-0.3877,ok
1996-02-02,-0.3612,ok
1996-02-09,-0.2647,ok
1996-02-16,-0.2526,ok
1996-02-23,-0.4408,ok
1996-03-01,-0.4019,ok
1996-03-08,-0.0367,ok
1996-03-15,-0.2378,ok
1996-03-22,-0.1437,ok
1996-03-29,-0.1004,ok
1996-04-05,-0.1319,ok
1996-04-12,-0.0832,ok
1996-04-19,0.0168,ok
1996-04-26,-0.1958,ok
1996-05-03,-0.1927,ok
1996-05-10,-0.1114,ok
1996-05-17,-0.1763,ok
1996-05-24,-0.2377,ok
1996-05-31,-0.2853,ok
1996-06-07,-0.2251,ok
1996-06-14,-0.1855,ok
1996-06-21,-0.1958,ok
1996-06-28,-0.0376,ok
1996-07-05,-0.4024,ok
1996-07-12,0.0279,ok
1996-07-19,0.0126,ok
1996-07-26,-0.0812,ok
1996-08-02,-0.1886,ok
1996-08-09,0.1169,ok
1996-08-16,-0.256,ok
1996-08-23,-0.2851,ok
1996-08-30,-0.3346,ok
1996-09-06,-0.1741,ok
1996-09-13,-0.1439,ok
1996-09-20,-0.1749,ok
1996-09-27,-0.0709,ok
1996-10-04,-0.082,ok
1996-10-11,-0.0679,ok
1996-10-18,-0.1378,ok
1996-10-25,-0.1873,ok
1996-11-01,-0.0681,ok
1996-11-08,-0.2374,ok
1996-11-15,-0.2245,ok
1996-11-22,-0.3081,ok
1996-11-29,-0.2825,ok
1996-12-06,-0.1338,ok
1996-12-13,-0.0414,ok
1996-12-20,-0.1654,ok
1996-12-27,-0.0922,ok
1997-01-03,-0.3461,ok
1997-01-10,-0.0918,ok
1997-01-17,-0.3005,ok
1997-01-24,-0.3393,ok
1997-01-31,-0.238,ok
1997-02-07,-0.2171,ok
1997-02-14,-0.2995,ok
1997-02-21,-0.3618,ok
1997-02-28,-0.3828,ok
1997-03-07,-0.2128,ok
1997-03-14,-0.295,ok
1997-03-21,-0.2804,ok
1997-03-28,-0.3788,ok
1997-04-04,-0.0947,ok
1997-04-11,-0.0982,ok
1997-04-18,-0.2417,ok
1997-04-25,-0.2317,ok
1997-05-02,-0.2761,ok
1997-05-09,-0.2091,ok
1997-05-16,-0.1934,ok
1997-05-23,-0.2664,ok
1997-05-30,-0.2249,ok
1997-06-06,-0.1111,ok
1997-06-13,-0.2812,ok
1997-06-20,-0.2151,ok
1997-06-27,-0.0928,ok
1997-07-04,-0.3793,ok
1997-07-11,-0.1253,ok
1997-07-18,-0.2889,ok
1997-07-25,-0.3076,ok
1997-08-01,-0.4169,ok
1997-08-08,-0.3247,ok
1997-08-15,-0.2454,ok
1997-08-22,-0.2226,ok
1997-08-29,-0.2361,ok
1997-09-05,-0.1828,ok
1997-09-12,-0.1525,ok
1997-09-19,-0.1628,ok
1997-09-26,-0.1289,ok
1997-10-03,-0.1709,ok
1997-10-10,-0.2081,ok
1997-10-17,-0.2156,ok
1997-10-24,-0.1471,ok
1997-10-31,0.6571,ok
1997-11-07,-0.0555,ok
1997-11-14,0.348,ok
1997-11-21,-0.1573,ok
1997-11-28,-0.1159,ok
1997-12-05,-0.3124,ok
1997-12-12,-0.0337,ok
1997-12-19,-0.0833,ok
1997-12-26,0.1211,ok
1998-01-02,-0.4685,ok
1998-01-09,0.2669,ok
1998-01-16,-0.0555,ok
1998-01-23,-0.2314,ok
1998-01-30,-0.2232,ok
1998-02-06,-0.285,ok
1998-02-13,-0.3321,ok
1998-02-20,-0.3254,ok
1998-02-27,-0.4652,ok
1998-03-06,-0.3126,ok
1998-03-13,-0.2435,ok
1998-03-20,-0.407,ok
1998-03-27,-0.3299,ok
1998-04-03,-0.1842,ok
1998-04-10,-0.2019,ok
1998-04-17,-0.2944,ok
1998-04-24,-0.2041,ok
1998-05-01,-0.0963,ok
1998-05-08,-0.1172,ok
1998-05-15,-0.3551,ok
1998-05-22,-0.2504,ok
1998-05-29,-0.1567,ok
1998-06-05,-0.2015,ok
1998-06-12,-0.1925,ok
1998-06-19,-0.1086,ok
1998-06-26,-0.181,ok
1998-07-03,-0.4175,ok
1998-07-10,-0.15,ok
1998-07-17,-0.4455,ok
1998-07-24,-0.1686,ok
1998-07-31,-0.105,ok
1998-08-07,0.1514,ok
1998-08-14,0.3014,ok
1998-08-21,0.2286,ok
1998-08-28,0.8871,ok
1998-09-04,1.1975,ok
1998-09-11,0.8583,ok
1998-09-18,0.5858,ok
1998-09-25,0.6578,ok
1998-10-02,1.0239,ok
1998-10-09,1.9119,ok
1998-10-16,1.1368,ok
1998-10-23,0.9038,ok
1998-10-30,0.7697,ok
1998-11-06,0.4566,ok
1998-11-13,0.6367,ok
1998-11-20,0.3457,ok
1998-11-27,-0.0247,ok
1998-12-04,0.5497,ok
1998-12-11,0.4729,ok
1998-12-18,0.5328,ok
1998-12-25,0.187,ok
1999-01-01,0.3828,ok
1999-01-08,0.1241,ok
1999-01-15,0.5436,ok
1999-01-22,0.5026,ok
1999-01-29,0.2705,ok
1999-02-05,0.1777,ok
1999-02-12,0.2514,ok
1999-02-19,0.0973,ok
1999-02-26,0.0625,ok
1999-03-05,0.0942,ok
1999-03-12,0.0972,ok
1999-03-19,0.0824,ok
1999-03-26,0.1541,ok
1999-04-02,0.0758,ok
1999-04-09,0.1326,ok
1999-04-16,0.0055,ok
1999-04-23,0.073,ok
1999-04-30,-0.0761,ok
1999-05-07,0.015,ok
1999-05-14,0.0624,ok
1999-05-21,0.2093,ok
1999-05-28,0.3101,ok
1999-06-04,0.121,ok
1999-06-11,0.1262,ok
1999-06-18,0.1559,ok
1999-06-25,0.0567,ok
1999-07-02,0.0822,ok
1999-07-09,0.1146,ok
1999-07-16,0.2173,ok
1999-07-23,0.2348,ok
1999-07-30,0.2556,ok
1999-08-06,0.4122,ok
1999-08-13,0.2895,ok
1999-08-20,0.2148,ok
1999-08-27,0.118,ok
1999-09-03,0.2347,ok
1999-09-10,0.3197,ok
1999-09-17,0.3394,ok
1999-09-24,0.3912,ok
1999-10-01,0.3098,ok
1999-10-08,0.4387,ok
1999-10-15,0.5496,ok
1999-10-22,0.425,ok
1999-10-29,0.187,ok
1999-11-05,0.3307,ok
1999-11-12,0.1922,ok
1999-11-19,-0.0296,ok
1999-11-26,0.052,ok
1999-12-03,0.166,ok
1999-12-10,0.2177,ok
1999-12-17,0.098,ok
1999-12-24,0.0544,ok
1999-12-31,0.276,ok
2000-01-07,-0.0045,ok
2000-01-14,-0.0396,ok
2000-01-21,0.0129,ok
2000-01-28,0.0744,ok
2000-02-04,-0.0538,ok
2000-02-11,0.1016,ok
2000-02-18,0.1647,ok
2000-02-25,0.2672,ok
2000-03-03,-0.0081,ok
2000-03-10,0.0588,ok
2000-03-17,0.0104,ok
2000-03-24,-0.1342,ok
2000-03-31,0.229,ok
2000-04-07,0.4519,ok
2000-04-14,0.4728,ok
2000-04-21,0.4346,ok
2000-04-28,0.3027,ok
2000-05-05,0.4714,ok
2000-05-12,0.4962,ok
2000-05-19,0.251,ok
2000-05-26,0.5881,ok
2000-06-02,0.4679,ok
2000-06-09,0.4201,ok
2000-06-16,0.3966,ok
2000-06-23,0.4374,ok
2000-06-30,0.3706,ok
2000-07-07,0.2912,ok
2000-07-14,0.1521,ok
2000-07-21,0.0734,ok
2000-07-28,0.1302,ok
2000-08-04,0.1376,ok
2000-08-11,-0.0128,ok
2000-08-18,0.0035,ok
2000-08-25,0.0239,ok
2000-09-01,-0.0615,ok
2000-09-08,0.0711,ok
2000-09-15,0.0935,ok
2000-09-22,0.2622,ok
2000-09-29,0.1341,ok
2000-10-06,0.1896,ok
2000-10-13,0.6816,ok
2000-10-20,0.488,ok
2000-10-27,0.32,ok
2000-11-03,0.1267,ok
2000-11-10,0.3131,ok
2000-11-17,0.4092,ok
2000-11-24,0.5523,ok
2000-12-01,0.5952,ok
2000-12-08,0.6372,ok
2000-12-15,0.4633,ok
2000-12-22,0.917,ok
2000-12-29,0.7085,ok
2001-01-05,0.9282,ok
2001-01-12,0.5053,ok
2001-01-19,0.2988,ok
2001-01-26,0.2704,ok
2001-02-02,0.4129,ok
2001-02-09,0.3849,ok
2001-02-16,0.2964,ok
2001-02-23,0.6671,ok
2001-03-02,0.5576,ok
2001-03-09,0.4195,ok
2001-03-16,0.8001,ok
2001-03-23,1.0707,ok
2001-03-30,0.5442,ok
2001-04-06,1.0488,ok
2001-04-13,0.7437,ok
2001-04-20,0.6412,ok
2001-04-27,0.7778,ok
2001-05-04,0.3194,ok
2001-05-11,0.4254,ok
2001-05-18,0.4413,ok
2001-05-25,0.3748,ok
2001-06-01,0.4222,ok
2001-06-08,0.3913,ok
2001-06-15,0.472,ok
2001-06-22,0.5128,ok
2001-06-29,0.3205,ok
2001-07-06,0.2893,ok
2001-07-13,0.5664,ok
2001-07-20,0.4558,ok
2001-07-27,0.335,ok
2001-08-03,0.2606,ok
2001-08-10,0.2742,ok
2001-08-17,0.3871,ok
2001-08-24,0.486,ok
2001-08-31,0.4081,ok
2001-09-07,0.5187,ok
2001-09-14,1.4955,ok
2001-09-21,2.0201,ok
2001-09-28,0.7565,ok
2001-10-05,1.1451,ok
2001-10-12,0.8805,ok
2001-10-19,0.7812,ok
2001-10-26,0.7589,ok
2001-11-02,1.0655,ok
2001-11-09,0.8573,ok
2001-11-16,0.4011,ok
2001-11-23,0.5291,ok
2001-11-30,0.7029,ok
2001-12-07,0.7969,ok
2001-12-14,0.7931,ok
2001-12-21,0.7725,ok
2001-12-28,0.6084,ok
2002-01-04,0.5668,ok
2002-01-11,0.5519,ok
2002-01-18,0.6065,ok
2002-01-25,0.3719,ok
2002-02-01,0.5232,ok
2002-02-08,0.6843,ok
2002-02-15,0.3831,ok
2002-02-22,0.5623,ok
2002-03-01,0.3962,ok
2002-03-08,0.205,ok
2002-03-15,0.1755,ok
2002-03-22,0.2992,ok
2002-03-29,0.3563,ok
2002-04-05,0.4537,ok
2002-04-12,0.4164,ok
2002-04-19,0.3088,ok
2002-04-26,0.3926,ok
2002-05-03,0.2777,ok
2002-05-10,0.3699,ok
2002-05-17,0.1702,ok
2002-05-24,0.3773,ok
2002-05-31,0.3564,ok
2002-06-07,0.5403,ok
2002-06-14,0.6382,ok
2002-06-21,0.6645,ok
2002-06-28,1.0008,ok
2002-07-05,0.7917,ok
2002-07-12,0.9289,ok
2002-07-19,1.0539,ok
2002-07-26,1.5308,ok
2002-08-02,0.9405,ok
2002-08-09,1.3215,ok
2002-08-16,1.0712,ok
2002-08-23,0.8646,ok
2002-08-30,0.8562,ok
2002-09-06,1.3458,ok
2002-09-13,1.0158,ok
2002-09-20,1.3161,ok
2002-09-27,1.4525,ok
2002-10-04,1.2656,ok
2002-10-11,1.5631,ok
2002-10-18,0.7759,ok
2002-10-25,1.0057,ok
2002-11-01,1.2245,ok
2002-11-08,1.076,ok
2002-11-15,1.0156,ok
2002-11-22,0.5329,ok
2002-11-29,0.6911,ok
2002-12-06,0.8746,ok
2002-12-13,0.8901,ok
2002-12-20,0.6782,ok
2002-12-27,0.9157,ok
2003-01-03,0.9357,ok
2003-01-10,0.4808,ok
2003-01-17,0.668,ok
2003-01-24,0.953,ok
2003-01-31,0.9331,ok
2003-02-07,0.9612,ok
2003-02-14,0.9146,ok
2003-02-21,0.6876,ok
2003-02-28,0.6804,ok
2003-03-07,0.7426,ok
2003-03-14,0.8039,ok
2003-03-21,0.4704,ok
2003-03-28,0.6634,ok
2003-04-04,0.5642,ok
2003-04-11,0.4486,ok
2003-04-18,0.2694,ok
2003-04-25,0.2587,ok
2003-05-02,0.2157,ok
2003-05-09,0.2549,ok
2003-05-16,0.358,ok
2003-05-23,0.5958,ok
2003-05-30,0.4103,ok
2003-06-06,0.3377,ok
