as_of,value,status
2018-03-31,1.42153e+06,ok
2018-04-30,1.5002e+06,ok
2018-05-31,1.59242e+06,ok
2018-06-30,1.66062e+06,ok
2018-07-31,1.70915e+06,ok
2018-08-31,1.73339e+06,ok
2018-09-30,1.7231e+06,ok
2018-10-31,1.70138e+06,ok
2018-11-30,1.64215e+06,ok
2018-12-31,1.542e+06,ok
2019-01-31,1.4526e+06,ok
2019-02-28,1.40552e+06,ok
2019-03-31,1.44997e+06,ok
2019-04-30,1.51557e+06,ok
2019-05-31,1.60423e+06,ok
2019-06-30,1.66508e+06,ok
2019-07-31,1.69356e+06,ok
2019-08-31,1.68869e+06,ok
2019-09-30,1.66542e+06,ok
2019-10-31,1.63459e+06,ok
2019-11-30,1.56053e+06,ok
2019-12-31,1.44143e+06,ok
2020-01-31,1.33619e+06,ok
2020-02-29,1.28546e+06,ok
2020-03-31,1.30904e+06,ok
2020-04-30,1.29981e+06,ok
2020-05-31,1.31797e+06,ok
2020-06-30,1.32018e+06,ok
2020-07-31,1.34517e+06,ok
2020-08-31,1.32497e+06,ok
2020-09-30,1.28302e+06,ok
2020-10-31,1.22821e+06,ok
2020-11-30,1.14049e+06,ok
2020-12-31,1.02814e+06,ok
2021-01-31,949584,ok
2021-02-28,881641,ok
2021-03-31,882134,ok
2021-04-30,882366,ok
2021-05-31,934197,ok
2021-06-30,978095,ok
2021-07-31,1.02863e+06,ok
2021-08-31,1.07184e+06,ok
2021-09-30,1.08409e+06,ok
2021-10-31,1.06794e+06,ok
2021-11-30,997943,ok
2021-12-31,887152,ok
2022-01-31,777174,ok
2022-02-28,706996,ok
2022-03-31,727008,ok
2022-04-30,774573,ok
2022-05-31,860427,ok
2022-06-30,947012,ok
2022-07-31,1.03343e+06,ok
2022-08-31,1.09221e+06,ok
2022-09-30,1.10163e+06,ok
2022-10-31,1.08523e+06,ok
2022-11-30,1.03272e+06,ok
2022-12-31,956029,ok
2023-01-31,884258,ok
2023-02-28,831098,ok
2023-03-31,835546,ok
2023-04-30,845933,ok
2023-05-31,879953,ok
2023-06-30,906312,ok
2023-07-31,930380,ok
2023-08-31,949513,ok
2023-09-30,957662,ok
2023-10-31,972710,ok
2023-11-30,964640,ok
2023-12-31,926056,ok
2024-01-31,884124,ok
2024-02-29,870160,ok
2024-03-31,907590,ok
2024-04-30,961206,ok
2024-05-31,1.03128e+06,ok
2024-06-30,1.09865e+06,ok
2024-07-31,1.15276e+06,ok
2024-08-31,1.18178e+06,ok
2024-09-30,1.19284e+06,ok
2024-10-31,1.19715e+06,ok
2024-11-30,1.1733e+06,ok
2024-12-31,1.11346e+06,ok
2025-01-31,1.06238e+06,ok
2025-02-28,1.04312e+06,ok
2025-03-31,1.09748e+06,ok
2025-04-30,1.1672e+06,ok
2025-05-31,1.26239e+06,ok
2025-06-30,1.32956e+06,ok
2025-07-31,1.37326e+06,ok
2025-08-31,1.3802e+06,ok
2025-09-30,1.37316e+06,ok
2025-10-31,1.36284e+06,ok
2025-11-30,1.32271e+06,ok
2025-12-31,1.23949e+06,ok
2026-01-31,1.15875e+06,ok
2026-02-28,1.11563e+06,ok
2026-03-31,1.15575e+06,ok
2026-04-30,1.21919e+06,ok
2026-05-31,1.3007e+06,ok
2026-06-30,1.35479e+06,ok
