as_of,value,status
1990-01-01,1551,ok
1990-02-01,1437,ok
1990-03-01,1289,ok
1990-04-01,1248,ok
1990-05-01,1212,ok
1990-06-01,1177,ok
1990-07-01,1171,ok
1990-08-01,1115,ok
1990-09-01,1110,ok
1990-10-01,1014,ok
1990-11-01,1145,ok
1990-12-01,969,ok
1991-01-01,798,ok
1991-02-01,965,ok
1991-03-01,921,ok
1991-04-01,1001,ok
1991-05-01,996,ok
1991-06-01,1036,ok
1991-07-01,1063,ok
1991-08-01,1049,ok
1991-09-01,1015,ok
1991-10-01,1079,ok
1991-11-01,1103,ok
1991-12-01,1079,ok
1992-01-01,1176,ok
1992-02-01,1250,ok
1992-03-01,1297,ok
1992-04-01,1099,ok
1992-05-01,1214,ok
1992-06-01,1145,ok
1992-07-01,1139,ok
1992-08-01,1226,ok
1992-09-01,1186,ok
1992-10-01,1244,ok
1992-11-01,1214,ok
1992-12-01,1227,ok
1993-01-01,1210,ok
1993-02-01,1210,ok
1993-03-01,1083,ok
1993-04-01,1258,ok
1993-05-01,1260,ok
1993-06-01,1280,ok
1993-07-01,1254,ok
1993-08-01,1300,ok
1993-09-01,1343,ok
1993-10-01,1392,ok
1993-11-01,1376,ok
1993-12-01,1533,ok
1994-01-01,1272,ok
1994-02-01,1337,ok
1994-03-01,1564,ok
1994-04-01,1465,ok
1994-05-01,1526,ok
1994-06-01,1409,ok
1994-07-01,1439,ok
1994-08-01,1450,ok
1994-09-01,1474,ok
1994-10-01,1450,ok
1994-11-01,1511,ok
1994-12-01,1455,ok
1995-01-01,1407,ok
1995-02-01,1316,ok
1995-03-01,1249,ok
1995-04-01,1267,ok
1995-05-01,1314,ok
1995-06-01,1281,ok
1995-07-01,1461,ok
1995-08-01,1416,ok
1995-09-01,1369,ok
1995-10-01,1369,ok
1995-11-01,1452,ok
1995-12-01,1431,ok
1996-01-01,1467,ok
1996-02-01,1491,ok
1996-03-01,1424,ok
1996-04-01,1516,ok
1996-05-01,1504,ok
1996-06-01,1467,ok
1996-07-01,1472,ok
1996-08-01,1557,ok
1996-09-01,1475,ok
1996-10-01,1392,ok
1996-11-01,1489,ok
1996-12-01,1370,ok
1997-01-01,1355,ok
1997-02-01,1486,ok
1997-03-01,1457,ok
1997-04-01,1492,ok
1997-05-01,1442,ok
1997-06-01,1494,ok
1997-07-01,1437,ok
1997-08-01,1390,ok
1997-09-01,1546,ok
1997-10-01,1520,ok
1997-11-01,1510,ok
1997-12-01,1566,ok
1998-01-01,1525,ok
1998-02-01,1584,ok
1998-03-01,1567,ok
1998-04-01,1540,ok
1998-05-01,1536,ok
1998-06-01,1641,ok
1998-07-01,1698,ok
1998-08-01,1614,ok
1998-09-01,1582,ok
1998-10-01,1715,ok
1998-11-01,1660,ok
1998-12-01,1792,ok
1999-01-01,1748,ok
1999-02-01,1670,ok
1999-03-01,1710,ok
1999-04-01,1553,ok
1999-05-01,1611,ok
1999-06-01,1559,ok
1999-07-01,1669,ok
1999-08-01,1648,ok
1999-09-01,1635,ok
1999-10-01,1608,ok
1999-11-01,1648,ok
1999-12-01,1708,ok
2000-01-01,1636,ok
2000-02-01,1737,ok
2000-03-01,1604,ok
2000-04-01,1626,ok
2000-05-01,1575,ok
2000-06-01,1559,ok
2000-07-01,1463,ok
2000-08-01,1541,ok
2000-09-01,1507,ok
2000-10-01,1549,ok
2000-11-01,1551,ok
2000-12-01,1532,ok
2001-01-01,1600,ok
2001-02-01,1625,ok
2001-03-01,1590,ok
2001-04-01,1649,ok
2001-05-01,1605,ok
2001-06-01,1636,ok
2001-07-01,1670,ok
2001-08-01,1567,ok
2001-09-01,1562,ok
2001-10-01,1540,ok
2001-11-01,1602,ok
2001-12-01,1568,ok
2002-01-01,1698,ok
2002-02-01,1829,ok
2002-03-01,1642,ok
2002-04-01,1592,ok
2002-05-01,1764,ok
2002-06-01,1717,ok
2002-07-01,1655,ok
2002-08-01,1633,ok
2002-09-01,1804,ok
2002-10-01,1648,ok
2002-11-01,1753,ok
2002-12-01,1788,ok
2003-01-01,1853,ok
2003-02-01,1629,ok
2003-03-01,1726,ok
2003-04-01,1643,ok
2003-05-01,1751,ok
2003-06-01,1867,ok
