as_of,value,status
1990-01-05,9.83,ok
1990-01-12,9.8,ok
1990-01-19,9.9,ok
1990-01-26,10.05,ok
1990-02-02,10.17,ok
1990-02-09,10.21,ok
1990-02-16,10.1,ok
1990-02-23,10.31,ok
1990-03-02,10.23,ok
1990-03-09,10.29,ok
1990-03-16,10.34,ok
1990-03-23,10.26,ok
1990-03-30,10.22,ok
1990-04-06,10.26,ok
1990-04-13,10.25,ok
1990-04-20,10.41,ok
1990-04-27,10.56,ok
1990-05-04,10.67,ok
1990-05-11,10.54,ok
1990-05-18,10.37,ok
1990-05-25,10.33,ok
1990-06-01,10.29,ok
1990-06-08,10.1,ok
1990-06-15,10.12,ok
1990-06-22,10.16,ok
1990-06-29,10.15,ok
1990-07-06,10.06,ok
1990-07-13,10.11,ok
1990-07-20,9.99,ok
1990-07-27,9.98,ok
1990-08-03,9.84,ok
1990-08-10,10.08,ok
1990-08-17,10.05,ok
1990-08-24,10.29,ok
1990-08-31,10.24,ok
1990-09-07,10.19,ok
1990-09-14,10.13,ok
1990-09-21,10.16,ok
1990-09-28,10.22,ok
1990-10-05,10.08,ok
1990-10-12,10.22,ok
1990-10-19,10.24,ok
1990-10-26,10.17,ok
1990-11-02,10.13,ok
1990-11-09,10.09,ok
1990-11-16,10.02,ok
1990-11-23,9.93,ok
1990-11-30,9.9,ok
1990-12-07,9.81,ok
1990-12-14,9.56,ok
1990-12-21,9.64,ok
1990-12-28,9.68,ok
1991-01-04,9.56,ok
1991-01-11,9.63,ok
1991-01-18,9.75,ok
1991-01-25,9.61,ok
1991-02-01,9.56,ok
1991-02-08,9.36,ok
1991-02-15,9.25,ok
1991-02-22,9.29,ok
1991-03-01,9.4,ok
1991-03-08,9.49,ok
1991-03-15,9.5,ok
1991-03-22,9.59,ok
1991-03-29,9.52,ok
1991-04-05,9.49,ok
1991-04-12,9.48,ok
1991-04-19,9.47,ok
1991-04-26,9.53,ok
1991-05-03,9.47,ok
1991-05-10,9.47,ok
1991-05-17,9.5,ok
1991-05-24,9.47,ok
1991-05-31,9.45,ok
1991-06-07,9.48,ok
1991-06-14,9.66,ok
1991-06-21,9.65,ok
1991-06-28,9.67,ok
1991-07-05,9.62,ok
1991-07-12,9.64,ok
1991-07-19,9.54,ok
1991-07-26,9.5,ok
1991-08-02,9.44,ok
1991-08-09,9.27,ok
1991-08-16,9.19,ok
1991-08-23,9.17,ok
1991-08-30,9.15,ok
1991-09-06,9.14,ok
1991-09-13,9.02,ok
1991-09-20,8.95,ok
1991-09-27,8.92,ok
1991-10-04,8.87,ok
1991-10-11,8.82,ok
1991-10-18,8.82,ok
1991-10-25,8.91,ok
1991-11-01,8.78,ok
1991-11-08,8.76,ok
1991-11-15,8.69,ok
1991-11-22,8.63,ok
1991-11-29,8.7,ok
1991-12-06,8.62,ok
1991-12-13,8.53,ok
1991-12-20,8.49,ok
1991-12-27,8.35,ok
1992-01-03,8.24,ok
1992-01-10,8.23,ok
1992-01-17,8.45,ok
1992-01-24,8.56,ok
1992-01-31,8.68,ok
1992-02-07,8.67,ok
1992-02-14,8.73,ok
1992-02-21,8.82,ok
1992-02-28,8.83,ok
1992-03-06,8.85,ok
1992-03-13,8.88,ok
1992-03-20,9.03,ok
1992-03-27,8.98,ok
1992-04-03,8.96,ok
1992-04-10,8.84,ok
1992-04-17,8.76,ok
1992-04-24,8.85,ok
1992-05-01,8.84,ok
1992-05-08,8.75,ok
1992-05-15,8.64,ok
1992-05-22,8.53,ok
1992-05-29,8.6,ok
1992-06-05,8.59,ok
1992-06-12,8.54,ok
1992-06-19,8.48,ok
1992-06-26,8.43,ok
1992-07-03,8.29,ok
1992-07-10,8.13,ok
1992-07-17,8.09,ok
1992-07-24,8.08,ok
1992-07-31,8.05,ok
1992-08-07,8.06,ok
1992-08-14,7.96,ok
1992-08-21,7.87,ok
1992-08-28,8.01,ok
1992-09-04,7.94,ok
1992-09-11,7.84,ok
1992-09-18,7.89,ok
1992-09-24,8.02,ok
1992-10-02,7.93,ok
1992-10-09,8.01,ok
1992-10-16,8.06,ok
1992-10-23,8.23,ok
1992-10-30,8.21,ok
1992-11-06,8.29,ok
1992-11-13,8.32,ok
1992-11-20,8.32,ok
1992-11-27,8.29,ok
1992-12-04,8.34,ok
1992-12-11,8.23,ok
1992-12-18,8.19,ok
1992-12-25,8.13,ok
1992-12-31,8.14,ok
1993-01-08,8.07,ok
1993-01-15,8.04,ok
1993-01-22,8,ok
1993-01-29,7.86,ok
1993-02-05,7.8,ok
1993-02-12,7.75,ok
1993-02-19,7.65,ok
1993-02-26,7.53,ok
1993-03-05,7.44,ok
1993-03-12,7.47,ok
1993-03-19,7.57,ok
1993-03-26,7.5,ok
1993-04-02,7.53,ok
1993-04-09,7.57,ok
1993-04-16,7.45,ok
1993-04-23,7.38,ok
1993-04-30,7.43,ok
1993-05-07,7.42,ok
1993-05-14,7.42,ok
1993-05-21,7.52,ok
1993-05-28,7.5,ok
1993-06-04,7.47,ok
1993-06-11,7.48,ok
1993-06-18,7.38,ok
1993-06-25,7.34,ok
1993-07-02,7.23,ok
1993-07-09,7.19,ok
1993-07-16,7.16,ok
1993-07-23,7.2,ok
1993-07-30,7.25,ok
1993-08-06,7.21,ok
1993-08-13,7.17,ok
1993-08-20,7.1,ok
1993-08-27,6.97,ok
1993-09-03,6.93,ok
1993-09-10,6.82,ok
1993-09-17,6.96,ok
1993-09-24,6.95,ok
1993-10-01,6.89,ok
1993-10-08,6.87,ok
1993-10-15,6.81,ok
1993-10-22,6.74,ok
1993-10-29,6.86,ok
1993-11-05,7.11,ok
1993-11-12,7.12,ok
1993-11-19,7.08,ok
1993-11-26,7.31,ok
1993-12-04,7.25,ok
1993-12-10,7.14,ok
1993-12-17,7.17,ok
1993-12-24,7.17,ok
1993-12-31,7.13,ok
1994-01-07,7.23,ok
1994-01-14,6.99,ok
1994-01-21,7.05,ok
1994-01-28,6.97,ok
1994-02-04,6.97,ok
1994-02-11,7.21,ok
1994-02-18,7.11,ok
1994-02-25,7.32,ok
1994-03-04,7.51,ok
1994-03-11,7.63,ok
1994-03-18,7.76,ok
1994-03-25,7.8,ok
1994-04-01,8.04,ok
1994-04-08,8.47,ok
1994-04-15,8.26,ok
1994-04-22,8.49,ok
1994-04-29,8.32,ok
1994-05-06,8.53,ok
1994-05-13,8.77,ok
1994-05-20,8.56,ok
1994-05-27,8.53,ok
1994-06-03,8.55,ok
1994-06-10,8.25,ok
1994-06-17,8.33,ok
1994-06-24,8.46,ok
1994-07-01,8.57,ok
1994-07-08,8.68,ok
1994-07-15,8.72,ok
1994-07-22,8.53,ok
1994-07-29,8.57,ok
1994-08-05,8.38,ok
1994-08-12,8.57,ok
1994-08-19,8.54,ok
1994-08-26,8.56,ok
1994-09-02,8.48,ok
1994-09-09,8.51,ok
1994-09-16,8.66,ok
1994-09-23,8.73,ok
1994-09-30,8.82,ok
1994-10-07,8.89,ok
1994-10-14,8.93,ok
1994-10-21,8.85,ok
1994-10-28,9.03,ok
1994-11-04,9.05,ok
1994-11-11,9.19,ok
1994-11-18,9.19,ok
1994-11-25,9.25,ok
1994-12-02,9.23,ok
1994-12-09,9.15,ok
1994-12-16,9.25,ok
1994-12-23,9.18,ok
1994-12-30,9.18,ok
1995-01-06,9.22,ok
1995-01-13,9.19,ok
1995-01-20,9.05,ok
1995-01-27,9.13,ok
1995-02-03,8.94,ok
1995-02-10,8.8,ok
1995-02-17,8.84,ok
1995-02-24,8.73,ok
1995-03-03,8.53,ok
1995-03-10,8.62,ok
1995-03-17,8.38,ok
1995-03-24,8.4,ok
1995-03-31,8.38,ok
1995-04-07,8.41,ok
1995-04-14,8.37,ok
1995-04-21,8.24,ok
1995-04-28,8.26,ok
1995-05-05,8.27,ok
1995-05-12,7.87,ok
1995-05-19,7.83,ok
1995-05-26,7.85,ok
1995-06-02,7.71,ok
1995-06-09,7.51,ok
1995-06-16,7.55,ok
1995-06-23,7.53,ok
1995-06-30,7.53,ok
1995-07-07,7.63,ok
1995-07-14,7.41,ok
1995-07-21,7.6,ok
1995-07-28,7.79,ok
1995-08-04,7.82,ok
1995-08-11,7.8,ok
1995-08-18,7.94,ok
1995-08-25,7.88,ok
1995-09-01,7.76,ok
1995-09-08,7.63,ok
1995-09-15,7.6,ok
1995-09-22,7.57,ok
1995-09-29,7.62,ok
1995-10-06,7.57,ok
1995-10-13,7.5,ok
1995-10-20,7.38,ok
1995-10-27,7.45,ok
1995-11-03,7.44,ok
1995-11-09,7.37,ok
1995-11-17,7.35,ok
1995-11-24,7.35,ok
1995-12-01,7.33,ok
1995-12-08,7.18,ok
1995-12-15,7.15,ok
1995-12-22,7.23,ok
1995-12-29,7.11,ok
1996-01-05,7.02,ok
1996-01-12,7.08,ok
1996-01-19,7.02,ok
1996-01-26,7,ok
1996-02-02,7.02,ok
1996-02-09,7.02,ok
1996-02-16,6.94,ok
1996-02-23,7.32,ok
1996-03-01,7.41,ok
1996-03-08,7.38,ok
1996-03-15,7.83,ok
1996-03-22,7.81,ok
1996-03-29,7.69,ok
1996-04-05,7.78,ok
1996-04-12,8.05,ok
1996-04-19,7.95,ok
1996-04-26,7.92,ok
1996-05-03,7.99,ok
1996-05-10,8.24,ok
1996-05-17,8.08,ok
1996-05-24,8.01,ok
1996-05-31,8.03,ok
1996-06-07,8.3,ok
1996-06-14,8.39,ok
1996-06-21,8.3,ok
1996-06-28,8.29,ok
1996-07-05,8.14,ok
1996-07-12,8.42,ok
1996-07-19,8.23,ok
1996-07-26,8.19,ok
1996-08-02,8.23,ok
1996-08-09,7.88,ok
1996-08-16,7.88,ok
1996-08-23,7.93,ok
1996-08-30,8.09,ok
1996-09-06,8.34,ok
1996-09-13,8.28,ok
1996-09-20,8.14,ok
1996-09-27,8.16,ok
1996-10-04,8.06,ok
1996-10-11,7.86,ok
1996-10-18,7.88,ok
1996-10-25,7.86,ok
1996-11-01,7.78,ok
1996-11-08,7.67,ok
1996-11-15,7.59,ok
1996-11-22,7.53,ok
1996-11-29,7.52,ok
1996-12-06,7.44,ok
1996-12-13,7.57,ok
1996-12-20,7.74,ok
1996-12-27,7.64,ok
1997-01-03,7.67,ok
1997-01-10,7.85,ok
1997-01-17,7.87,ok
1997-01-24,7.85,ok
1997-01-31,7.88,ok
1997-02-07,7.74,ok
1997-02-14,7.65,ok
1997-02-21,7.56,ok
1997-02-28,7.65,ok
1997-03-07,7.84,ok
1997-03-14,7.84,ok
1997-03-21,7.94,ok
1997-03-28,7.97,ok
1997-04-04,8.18,ok
1997-04-11,8.15,ok
1997-04-18,8.16,ok
1997-04-25,8.08,ok
1997-05-02,8.01,ok
1997-05-09,7.94,ok
1997-05-16,7.91,ok
1997-05-23,7.92,ok
1997-05-30,7.94,ok
1997-06-06,7.85,ok
1997-06-13,7.72,ok
1997-06-20,7.61,ok
1997-06-27,7.58,ok
1997-07-04,7.62,ok
1997-07-11,7.47,ok
1997-07-18,7.47,ok
1997-07-25,7.43,ok
1997-08-01,7.36,ok
1997-08-08,7.46,ok
1997-08-15,7.54,ok
1997-08-22,7.46,ok
1997-08-29,7.58,ok
1997-09-05,7.53,ok
1997-09-12,7.53,ok
1997-09-19,7.38,ok
1997-09-26,7.28,ok
1997-10-03,7.31,ok
1997-10-10,7.26,ok
1997-10-17,7.34,ok
1997-10-24,7.35,ok
1997-10-31,7.21,ok
1997-11-07,7.24,ok
1997-11-14,7.23,ok
1997-11-21,7.18,ok
1997-11-28,7.17,ok
1997-12-05,7.15,ok
1997-12-12,7.17,ok
1997-12-19,7.07,ok
1997-12-26,6.99,ok
1998-01-02,7.03,ok
1998-01-09,6.94,ok
1998-01-16,6.89,ok
1998-01-23,6.99,ok
1998-01-30,7.12,ok
1998-02-06,7.03,ok
1998-02-13,7.06,ok
1998-02-20,6.99,ok
1998-02-28,7.09,ok
1998-03-06,7.19,ok
1998-03-13,7.16,ok
1998-03-20,7.08,ok
1998-03-27,7.08,ok
1998-04-03,7.15,ok
1998-04-10,7.09,ok
1998-04-17,7.17,ok
1998-04-24,7.15,ok
1998-05-01,7.22,ok
1998-05-08,7.14,ok
1998-05-15,7.19,ok
1998-05-22,7.1,ok
1998-05-29,7.07,ok
1998-06-05,7.05,ok
1998-06-12,7.04,ok
1998-06-19,6.94,ok
1998-06-26,6.96,ok
1998-07-03,6.98,ok
1998-07-10,6.91,ok
1998-07-17,6.94,ok
1998-07-24,6.96,ok
1998-07-31,6.97,ok
1998-08-07,6.94,ok
1998-08-14,6.91,ok
1998-08-21,6.92,ok
1998-08-28,6.92,ok
1998-09-04,6.82,ok
1998-09-11,6.77,ok
1998-09-18,6.66,ok
1998-09-25,6.64,ok
1998-10-02,6.6,ok
1998-10-09,6.49,ok
1998-10-16,6.9,ok
1998-10-23,6.73,ok
1998-10-30,6.83,ok
1998-11-06,6.89,ok
1998-11-13,6.93,ok
1998-11-20,6.86,ok
1998-11-27,6.78,ok
1998-12-04,6.71,ok
1998-12-11,6.69,ok
1998-12-18,6.69,ok
1998-12-25,6.77,ok
1998-12-31,6.83,ok
1999-01-08,6.79,ok
1999-01-15,6.83,ok
1999-01-22,6.78,ok
1999-01-29,6.74,ok
1999-02-05,6.75,ok
1999-02-12,6.77,ok
1999-02-19,6.82,ok
1999-02-26,6.89,ok
1999-03-05,7.06,ok
1999-03-12,7.11,ok
1999-03-19,7.01,ok
1999-03-26,6.98,ok
1999-04-02,6.98,ok
1999-04-09,6.92,ok
1999-04-16,6.87,ok
1999-04-23,6.88,ok
1999-04-30,6.93,ok
1999-05-07,7.02,ok
1999-05-14,7.1,ok
1999-05-21,7.23,ok
1999-05-28,7.23,ok
1999-06-04,7.41,ok
1999-06-11,7.51,ok
1999-06-18,7.65,ok
1999-06-25,7.63,ok
1999-07-02,7.71,ok
1999-07-09,7.65,ok
1999-07-16,7.58,ok
1999-07-23,7.52,ok
1999-07-30,7.7,ok
1999-08-06,7.89,ok
1999-08-13,8.15,ok
1999-08-20,7.93,ok
1999-08-27,7.8,ok
1999-09-03,7.83,ok
1999-09-10,7.88,ok
1999-09-17,7.82,ok
1999-09-24,7.76,ok
1999-10-01,7.7,ok
1999-10-08,7.82,ok
1999-10-15,7.85,ok
1999-10-22,7.93,ok
1999-10-29,7.96,ok
1999-11-05,7.84,ok
1999-11-12,7.67,ok
1999-11-19,7.69,ok
1999-11-26,7.75,ok
1999-12-03,7.84,ok
1999-12-10,7.84,ok
1999-12-17,7.86,ok
1999-12-24,7.96,ok
1999-12-31,8.06,ok
2000-01-07,8.15,ok
2000-01-14,8.18,ok
2000-01-21,8.26,ok
2000-01-28,8.25,ok
2000-02-04,8.25,ok
2000-02-11,8.36,ok
2000-02-18,8.38,ok
2000-02-25,8.31,ok
2000-03-03,8.27,ok
2000-03-10,8.23,ok
2000-03-17,8.24,ok
2000-03-24,8.23,ok
2000-03-31,8.23,ok
2000-04-07,8.2,ok
