as_of,value,status
2026-07-23,0.88,ok
2026-07-24,0.99,ok
2026-07-27,0.94,ok
2026-07-28,0.96,ok
2026-07-29,1.05,ok
2026-07-30,0.91,ok
2026-07-31,0.91,ok
2026-08-03,0.8,ok
2026-08-04,0.69,ok
2026-08-06,0.86,ok
2026-08-07,0.76,ok
2026-08-10,0.86,ok
2026-08-11,0.81,ok
2026-08-12,0.84,ok
2026-08-13,0.79,ok
2026-08-14,0.77,ok
2026-08-17,0.92,ok
2026-08-18,0.95,ok
2026-08-19,0.8,ok
2026-08-20,0.78,ok
2026-08-21,0.72,ok
2026-08-24,0.91,ok
2026-08-26,0.87,ok
2026-08-27,0.73,ok
2026-08-28,0.84,ok
2026-08-31,0.84,ok
2026-09-01,0.95,ok
2026-09-02,0.84,ok
2026-09-03,0.76,ok
2026-09-04,0.76,ok
2026-09-08,0.8,ok
2026-09-09,0.88,ok
2026-09-10,0.83,ok
2026-09-11,0.86,ok
2026-09-14,0.91,ok
2026-09-15,0.86,ok
2026-09-16,0.98,ok
2026-09-17,0.79,ok
2026-09-18,0.81,ok
2026-09-21,0.74,ok
2026-09-22,0.78,ok
2026-09-23,0.86,ok
2026-09-24,0.8,ok
