as_of,value,status
1990-04-01,1.4598,ok
1990-07-01,0.266593,ok
1990-10-01,-3.59219,ok
1991-01-01,-1.85867,ok
1991-04-01,3.15542,ok
1991-07-01,2.03681,ok
1991-10-01,1.40149,ok
1992-01-01,4.8757,ok
1992-04-01,4.40827,ok
1992-07-01,4.01141,ok
1992-10-01,4.23713,ok
1993-01-01,0.669449,ok
1993-04-01,2.3491,ok
1993-07-01,1.92232,ok
1993-10-01,5.55261,ok
1994-01-01,3.93831,ok
1994-04-01,5.53192,ok
1994-07-01,2.35892,ok
1994-10-01,4.66162,ok
1995-01-01,1.42669,ok
1995-04-01,1.19864,ok
1995-07-01,3.44657,ok
1995-10-01,2.74412,ok
1996-01-01,3.03003,ok
1996-04-01,6.84056,ok
1996-07-01,3.6367,ok
1996-10-01,4.21862,ok
1997-01-01,2.60688,ok
1997-04-01,6.8291,ok
1997-07-01,5.08859,ok
1997-10-01,3.45944,ok
1998-01-01,4.07587,ok
1998-04-01,3.75448,ok
1998-07-01,5.13166,ok
1998-10-01,6.59383,ok
1999-01-01,3.81102,ok
1999-04-01,3.38101,ok
1999-07-01,5.40995,ok
1999-10-01,6.72595,ok
2000-01-01,1.45909,ok
2000-04-01,7.4866,ok
2000-07-01,0.408354,ok
2000-10-01,2.40963,ok
2001-01-01,-1.30476,ok
2001-04-01,2.52151,ok
2001-07-01,-1.59295,ok
2001-10-01,1.10364,ok
2002-01-01,3.38764,ok
2002-04-01,2.47344,ok
2002-07-01,1.63599,ok
2002-10-01,0.495338,ok
2003-01-01,2.12327,ok
2003-04-01,3.58982,ok
2003-07-01,6.82062,ok
2003-10-01,4.72435,ok
2004-01-01,2.28594,ok
2004-04-01,3.13603,ok
2004-07-01,3.84871,ok
2004-10-01,4.14371,ok
2005-01-01,4.51184,ok
2005-04-01,1.98511,ok
2005-07-01,3.17231,ok
2005-10-01,2.24065,ok
2006-01-01,5.49112,ok
2006-04-01,1.03904,ok
2006-07-01,0.601174,ok
2006-10-01,3.48237,ok
2007-01-01,1.20878,ok
2007-04-01,2.46959,ok
2007-07-01,2.32409,ok
2007-10-01,2.53673,ok
2008-01-01,-1.69616,ok
2008-04-01,2.40307,ok
2008-07-01,-2.08454,ok
2008-10-01,-8.47277,ok
2009-01-01,-4.4628,ok
2009-04-01,-0.712691,ok
2009-07-01,1.41219,ok
2009-10-01,4.39426,ok
2010-01-01,1.95213,ok
2010-04-01,3.92688,ok
2010-07-01,3.1202,ok
2010-10-01,2.11704,ok
2011-01-01,-0.945449,ok
2011-04-01,2.73392,ok
2011-07-01,-0.0892211,ok
2011-10-01,4.56844,ok
2012-01-01,3.39679,ok
2012-04-01,1.79733,ok
2012-07-01,0.577358,ok
2012-10-01,0.463365,ok
2013-01-01,4.00503,ok
2013-04-01,1.07485,ok
2013-07-01,3.44931,ok
2013-10-01,3.53283,ok
2014-01-01,-1.37325,ok
2014-04-01,5.26837,ok
2014-07-01,4.95092,ok
2014-10-01,2.03833,ok
2015-01-01,3.65089,ok
2015-04-01,2.50074,ok
2015-07-01,1.61062,ok
2015-10-01,0.739961,ok
2016-01-01,2.33831,ok
2016-04-01,1.2907,ok
2016-07-01,2.8679,ok
2016-10-01,2.2357,ok
2017-01-01,1.96183,ok
2017-04-01,2.25837,ok
2017-07-01,3.1916,ok
2017-10-01,4.58497,ok
2018-01-01,3.29355,ok
2018-04-01,2.14027,ok
2018-07-01,2.51823,ok
2018-10-01,0.567782,ok
2019-01-01,2.52076,ok
2019-04-01,3.38266,ok
2019-07-01,4.76278,ok
2019-10-01,2.75554,ok
2020-01-01,-5.16223,ok
2020-04-01,-27.9761,ok
2020-07-01,34.855,ok
2020-10-01,4.61174,ok
2021-01-01,5.70126,ok
2021-04-01,6.98333,ok
2021-07-01,3.34128,ok
2021-10-01,7.04168,ok
2022-01-01,-1.01531,ok
2022-04-01,0.62766,ok
2022-07-01,2.91902,ok
2022-10-01,2.78968,ok
2023-01-01,2.92699,ok
2023-04-01,2.53524,ok
2023-07-01,4.69489,ok
2023-10-01,3.41922,ok
2024-01-01,0.842092,ok
2024-04-01,3.58927,ok
2024-07-01,3.34015,ok
2024-10-01,1.85223,ok
2025-01-01,-0.648483,ok
2025-04-01,3.83803,ok
2025-07-01,4.3754,ok
2025-10-01,0.482248,ok
2026-01-01,2.08919,ok
