as_of,value,status
2018-03-31,28,ok
2018-04-30,23,ok
2018-05-31,22,ok
2018-06-30,22,ok
2018-07-31,25,ok
2018-08-31,27,ok
2018-09-30,26,ok
2018-10-31,26,ok
2018-11-30,29,ok
2018-12-31,36,ok
2019-01-31,43,ok
2019-02-28,43,ok
2019-03-31,38,ok
2019-04-30,34,ok
2019-05-31,29,ok
2019-06-30,28,ok
2019-07-31,28,ok
2019-08-31,31,ok
2019-09-30,30,ok
2019-10-31,28,ok
2019-11-30,29,ok
2019-12-31,41,ok
2020-01-31,45,ok
2020-02-29,44,ok
2020-03-31,32,ok
2020-04-30,33,ok
2020-05-31,32,ok
2020-06-30,33,ok
2020-07-31,30,ok
2020-08-31,32,ok
2020-09-30,34,ok
2020-10-31,35,ok
2020-11-30,40,ok
2020-12-31,49,ok
2021-01-31,55,ok
2021-02-28,55,ok
2021-03-31,46,ok
2021-04-30,38,ok
2021-05-31,32,ok
2021-06-30,29,ok
2021-07-31,28,ok
2021-08-31,28,ok
2021-09-30,28,ok
2021-10-31,28,ok
2021-11-30,29,ok
2021-12-31,39,ok
2022-01-31,44,ok
2022-02-28,43,ok
2022-03-31,32,ok
2022-04-30,26,ok
2022-05-31,23,ok
2022-06-30,27,ok
2022-07-31,29,ok
2022-08-31,36,ok
2022-09-30,36,ok
2022-10-31,38,ok
2022-11-30,38,ok
2022-12-31,52,ok
2023-01-31,61,ok
2023-02-28,64,ok
2023-03-31,54,ok
2023-04-30,47,ok
2023-05-31,41,ok
2023-06-30,40,ok
2023-07-31,40,ok
2023-08-31,44,ok
2023-09-30,44,ok
2023-10-31,43,ok
2023-11-30,42,ok
2023-12-31,54,ok
2024-01-31,63,ok
2024-02-29,63,ok
2024-03-31,52,ok
2024-04-30,40,ok
2024-05-31,36,ok
2024-06-30,35,ok
2024-07-31,40,ok
2024-08-31,44,ok
2024-09-30,45,ok
2024-10-31,42,ok
2024-11-30,43,ok
2024-12-31,52,ok
2025-01-31,60,ok
2025-02-28,57,ok
2025-03-31,47,ok
2025-04-30,39,ok
2025-05-31,35,ok
2025-06-30,35,ok
2025-07-31,38,ok
2025-08-31,44,ok
2025-09-30,45,ok
2025-10-31,44,ok
2025-11-30,44,ok
2025-12-31,51,ok
2026-01-31,51,ok
2026-02-28,47,ok
2026-03-31,33,ok
2026-04-30,27,ok
2026-05-31,25,ok
2026-06-30,29,ok
2026-07-31,32,ok
