as_of,value,status
2018-03-31,805,ok
2018-04-30,948,ok
2018-05-31,1052,ok
2018-06-30,1093,ok
2018-07-31,1069,ok
2018-08-31,996,ok
2018-09-30,1079,ok
2018-10-31,1241,ok
2018-11-30,1331,ok
2018-12-31,1142,ok
2019-01-31,936,ok
2019-02-28,864,ok
2019-03-31,960,ok
2019-04-30,1045,ok
2019-05-31,1108,ok
2019-06-30,1104,ok
2019-07-31,1071,ok
2019-08-31,979,ok
2019-09-30,1099,ok
2019-10-31,1288,ok
2019-11-30,1378,ok
2019-12-31,1150,ok
2020-01-31,883,ok
2020-02-29,845,ok
2020-03-31,926,ok
2020-04-30,925,ok
2020-05-31,976,ok
2020-06-30,1183,ok
2020-07-31,1575,ok
2020-08-31,1906,ok
2020-09-30,2180,ok
2020-10-31,2378,ok
2020-11-30,2348,ok
2020-12-31,2046,ok
2021-01-31,1672,ok
2021-02-28,1531,ok
2021-03-31,1531,ok
2021-04-30,1572,ok
2021-05-31,1518,ok
2021-06-30,1512,ok
2021-07-31,1494,ok
2021-08-31,1432,ok
2021-09-30,1502,ok
2021-10-31,1600,ok
2021-11-30,1618,ok
2021-12-31,1326,ok
2022-01-31,1041,ok
2022-02-28,982,ok
2022-03-31,1200,ok
2022-04-30,1411,ok
2022-05-31,1548,ok
2022-06-30,1596,ok
2022-07-31,1599,ok
2022-08-31,1546,ok
2022-09-30,1573,ok
2022-10-31,1642,ok
2022-11-30,1636,ok
2022-12-31,1399,ok
2023-01-31,1114,ok
2023-02-28,984,ok
2023-03-31,1047,ok
2023-04-30,1163,ok
2023-05-31,1257,ok
2023-06-30,1276,ok
2023-07-31,1247,ok
2023-08-31,1196,ok
2023-09-30,1282,ok
2023-10-31,1420,ok
2023-11-30,1451,ok
2023-12-31,1253,ok
2024-01-31,1014,ok
2024-02-29,942,ok
2024-03-31,1041,ok
2024-04-30,1186,ok
2024-05-31,1313,ok
2024-06-30,1363,ok
2024-07-31,1330,ok
2024-08-31,1234,ok
2024-09-30,1284,ok
2024-10-31,1408,ok
2024-11-30,1435,ok
2024-12-31,1231,ok
2025-01-31,1026,ok
2025-02-28,981,ok
2025-03-31,1121,ok
2025-04-30,1282,ok
2025-05-31,1437,ok
2025-06-30,1471,ok
2025-07-31,1395,ok
2025-08-31,1242,ok
2025-09-30,1225,ok
2025-10-31,1239,ok
2025-11-30,1174,ok
2025-12-31,917,ok
2026-01-31,733,ok
2026-02-28,717,ok
2026-03-31,884,ok
2026-04-30,1052,ok
2026-05-31,1180,ok
2026-06-30,1157,ok
2026-07-31,1023,ok
