as_of,value,status
2018-03-31,1.28292e+06,ok
2018-04-30,1.28292e+06,ok
2018-05-31,1.28425e+06,ok
2018-06-30,1.29633e+06,ok
2018-07-31,1.298e+06,ok
2018-08-31,1.28167e+06,ok
2018-09-30,1.28167e+06,ok
2018-10-31,1.29e+06,ok
2018-11-30,1.30667e+06,ok
2018-12-31,1.32467e+06,ok
2019-01-31,1.31567e+06,ok
2019-02-28,1.33383e+06,ok
2019-03-31,1.34917e+06,ok
2019-04-30,1.3815e+06,ok
2019-05-31,1.395e+06,ok
2019-06-30,1.395e+06,ok
2019-07-31,1.39633e+06,ok
2019-08-31,1.39633e+06,ok
2019-09-30,1.398e+06,ok
2019-10-31,1.39767e+06,ok
2019-11-30,1.40933e+06,ok
2019-12-31,1.442e+06,ok
2020-01-31,1.45017e+06,ok
2020-02-29,1.46183e+06,ok
2020-03-31,1.46083e+06,ok
2020-04-30,1.48667e+06,ok
2020-05-31,1.49667e+06,ok
2020-06-30,1.48167e+06,ok
2020-07-31,1.44667e+06,ok
2020-08-31,1.40667e+06,ok
2020-10-31,1.333e+06,ok
2020-11-30,1.30633e+06,ok
2020-12-31,1.28133e+06,ok
2021-01-31,1.248e+06,ok
2021-02-28,1.23267e+06,ok
2021-03-31,1.23833e+06,ok
2021-04-30,1.2695e+06,ok
2021-05-31,1.28483e+06,ok
2021-06-30,1.29417e+06,ok
2021-07-31,1.286e+06,ok
2021-08-31,1.271e+06,ok
2021-09-30,1.271e+06,ok
2021-10-31,1.28e+06,ok
2021-11-30,1.285e+06,ok
2021-12-31,1.25267e+06,ok
2022-01-31,1.221e+06,ok
2022-02-28,1.21533e+06,ok
2022-03-31,1.2455e+06,ok
2022-04-30,1.26183e+06,ok
2022-05-31,1.27417e+06,ok
2022-06-30,1.27467e+06,ok
2022-07-31,1.26833e+06,ok
2022-08-31,1.24e+06,ok
2022-09-30,1.24267e+06,ok
2022-10-31,1.26433e+06,ok
2022-11-30,1.297e+06,ok
2022-12-31,1.2825e+06,ok
2023-01-31,1.2675e+06,ok
2023-02-28,1.2665e+06,ok
2023-03-31,1.27767e+06,ok
2023-04-30,1.29367e+06,ok
2023-05-31,1.29367e+06,ok
2023-06-30,1.296e+06,ok
2023-07-31,1.27967e+06,ok
2023-08-31,1.25733e+06,ok
2023-09-30,1.255e+06,ok
2023-10-31,1.27033e+06,ok
2023-11-30,1.28067e+06,ok
2023-12-31,1.25112e+06,ok
2024-01-31,1.20279e+06,ok
2024-02-29,1.18279e+06,ok
2024-03-31,1.1825e+06,ok
2024-04-30,1.1985e+06,ok
2024-05-31,1.19717e+06,ok
2024-06-30,1.196e+06,ok
2024-07-31,1.18717e+06,ok
2024-08-31,1.1805e+06,ok
2024-09-30,1.1815e+06,ok
2024-10-31,1.18933e+06,ok
2024-11-30,1.1685e+06,ok
2024-12-31,1.119e+06,ok
2025-01-31,1.08667e+06,ok
2025-02-28,1.11417e+06,ok
2025-03-31,1.16267e+06,ok
2025-04-30,1.19663e+06,ok
2025-05-31,1.2083e+06,ok
2025-06-30,1.2033e+06,ok
2025-07-31,1.17e+06,ok
2025-08-31,1.125e+06,ok
2025-09-30,1.13e+06,ok
2025-10-31,1.16333e+06,ok
2025-11-30,1.19667e+06,ok
2025-12-31,1.15833e+06,ok
2026-01-31,1.14133e+06,ok
2026-02-28,1.14133e+06,ok
2026-03-31,1.18133e+06,ok
2026-04-30,1.19817e+06,ok
2026-05-31,1.19917e+06,ok
2026-06-30,1.1975e+06,ok
