as_of,value,status
2018-03-31,444,ok
2018-04-30,510,ok
2018-05-31,562,ok
2018-06-30,564,ok
2018-07-31,508,ok
2018-08-31,443,ok
2018-09-30,547,ok
2018-10-31,606,ok
2018-11-30,587,ok
2018-12-31,327,ok
2019-01-31,275,ok
2019-02-28,296,ok
2019-03-31,449,ok
2019-04-30,484,ok
2019-05-31,551,ok
2019-06-30,520,ok
2019-07-31,475,ok
2019-08-31,393,ok
2019-09-30,548,ok
2019-10-31,620,ok
2019-11-30,595,ok
2019-12-31,329,ok
2020-01-31,251,ok
2020-02-29,349,ok
2020-03-31,423,ok
2020-04-30,389,ok
2020-05-31,407,ok
2020-06-30,545,ok
2020-07-31,733,ok
2020-08-31,793,ok
2020-09-30,863,ok
2020-10-31,857,ok
2020-11-30,731,ok
2020-12-31,484,ok
2021-01-31,403,ok
2021-02-28,461,ok
2021-03-31,612,ok
2021-04-30,653,ok
2021-05-31,688,ok
2021-06-30,707,ok
2021-07-31,696,ok
2021-08-31,636,ok
2021-09-30,713,ok
2021-10-31,744,ok
2021-11-30,693,ok
2021-12-31,431,ok
2022-01-31,342,ok
2022-02-28,440,ok
2022-03-31,650,ok
2022-04-30,735,ok
2022-05-31,745,ok
2022-06-30,699,ok
2022-07-31,616,ok
2022-08-31,539,ok
2022-09-30,581,ok
2022-10-31,584,ok
2022-11-30,510,ok
2022-12-31,282,ok
2023-01-31,215,ok
2023-02-28,269,ok
2023-03-31,399,ok
2023-04-30,456,ok
2023-05-31,492,ok
2023-06-30,469,ok
2023-07-31,427,ok
2023-08-31,390,ok
2023-09-30,490,ok
2023-10-31,525,ok
2023-11-30,456,ok
2023-12-31,241,ok
2024-01-31,188,ok
2024-02-29,278,ok
2024-03-31,421,ok
2024-04-30,507,ok
2024-05-31,545,ok
2024-06-30,512,ok
2024-07-31,438,ok
2024-08-31,374,ok
2024-09-30,484,ok
2024-10-31,532,ok
2024-11-30,483,ok
2024-12-31,270,ok
2025-01-31,251,ok
2025-02-28,327,ok
2025-03-31,483,ok
2025-04-30,536,ok
2025-05-31,589,ok
2025-06-30,532,ok
2025-07-31,443,ok
2025-08-31,353,ok
2025-09-30,442,ok
2025-10-31,480,ok
2025-11-30,432,ok
2025-12-31,245,ok
2026-01-31,222,ok
2026-02-28,289,ok
2026-03-31,445,ok
2026-04-30,516,ok
2026-05-31,574,ok
2026-06-30,507,ok
