as_of,value,status
2018-03-31,6.32888,ok
2018-04-30,6.29682,ok
2018-05-31,6.14108,ok
2018-06-30,5.84724,ok
2018-07-31,5.87442,ok
2018-08-31,5.8736,ok
2018-09-30,5.82152,ok
2018-10-31,5.84886,ok
2018-11-30,5.84286,ok
2018-12-31,5.69315,ok
2019-01-31,5.68496,ok
2019-02-28,5.45087,ok
2019-03-31,5.10492,ok
2019-04-30,4.94921,ok
2019-05-31,5.04454,ok
2019-06-30,5.29082,ok
2019-07-31,5.05549,ok
2019-08-31,4.92598,ok
2019-09-30,5.00985,ok
2019-10-31,5.21061,ok
2019-11-30,5.27976,ok
2019-12-31,5.28184,ok
2020-01-31,5.13534,ok
2020-02-29,5.1309,ok
2020-03-31,5.08497,ok
2020-04-30,5.14579,ok
2020-05-31,5.01397,ok
2020-06-30,5.01933,ok
2020-07-31,4.99028,ok
2020-08-31,5.12785,ok
2020-09-30,5.05185,ok
2020-10-31,5.12562,ok
2020-11-30,4.9772,ok
2020-12-31,4.75452,ok
2021-01-31,4.87187,ok
2021-02-28,4.92539,ok
2021-03-31,5.02666,ok
2021-04-30,4.81004,ok
2021-05-31,4.87332,ok
2021-06-30,5.10941,ok
2021-07-31,5.35246,ok
2021-08-31,5.31558,ok
2021-09-30,5.46862,ok
2021-10-31,5.46575,ok
2021-11-30,5.58001,ok
2021-12-31,5.14852,ok
2022-01-31,5.17059,ok
2022-02-28,4.9195,ok
2022-03-31,5.20575,ok
2022-04-30,4.9751,ok
2022-05-31,5.29738,ok
2022-06-30,5.44467,ok
2022-07-31,5.60775,ok
2022-08-31,5.4545,ok
2022-09-30,5.28764,ok
2022-10-31,5.2772,ok
2022-11-30,5.42702,ok
2022-12-31,5.03117,ok
2023-01-31,4.8331,ok
2023-02-28,4.57909,ok
2023-03-31,5.03283,ok
2023-04-30,5.27254,ok
2023-05-31,5.57036,ok
2023-06-30,5.77387,ok
2023-07-31,5.7515,ok
2023-08-31,5.76477,ok
2023-09-30,5.52769,ok
2023-10-31,5.53674,ok
2023-11-30,5.24556,ok
2023-12-31,5.10162,ok
2024-01-31,5.06972,ok
2024-02-29,5.17024,ok
2024-03-31,5.15139,ok
2024-04-30,5.2219,ok
2024-05-31,5.27193,ok
2024-06-30,5.57257,ok
2024-07-31,5.42352,ok
2024-08-31,5.43599,ok
2024-09-30,5.20803,ok
2024-10-31,5.26063,ok
2024-11-30,5.04765,ok
2024-12-31,4.64085,ok
2025-01-31,4.76572,ok
2025-02-28,4.82659,ok
2025-03-31,5.2104,ok
2025-04-30,4.98869,ok
2025-05-31,5.04838,ok
2025-06-30,5.15358,ok
2025-07-31,5.15028,ok
2025-08-31,5.21611,ok
2025-09-30,5.15457,ok
2025-10-31,5.1543,ok
2025-11-30,5.19251,ok
2025-12-31,5.10868,ok
2026-01-31,5.35385,ok
2026-02-28,4.90544,ok
2026-03-31,5.09,ok
2026-04-30,4.8027,ok
2026-05-31,5.16452,ok
2026-06-30,5.00119,ok
2026-07-31,5.13884,ok
