as_of,value,status
2000-01-31,410167,ok
2000-02-29,412258,ok
2000-03-31,415126,ok
2000-04-30,421312,ok
2000-05-31,428575,ok
2000-06-30,436592,ok
2000-07-31,445064,ok
2000-08-31,453912,ok
2000-09-30,462739,ok
2000-10-31,471763,ok
2000-11-30,481354,ok
2000-12-31,491726,ok
2001-01-31,502075,ok
2001-02-28,511906,ok
2001-03-31,519495,ok
2001-04-30,525951,ok
2001-05-31,530338,ok
2001-06-30,534005,ok
2001-07-31,536042,ok
2001-08-31,537614,ok
2001-09-30,538713,ok
2001-10-31,537949,ok
2001-11-30,535072,ok
2001-12-31,529590,ok
2002-01-31,525480,ok
2002-02-28,523027,ok
2002-03-31,523387,ok
2002-04-30,524411,ok
2002-05-31,527380,ok
2002-06-30,531974,ok
2002-07-31,538213,ok
2002-08-31,545295,ok
2002-09-30,551006,ok
2002-10-31,555568,ok
2002-11-30,557939,ok
2002-12-31,560134,ok
2003-01-31,561578,ok
2003-02-28,565871,ok
2003-03-31,570850,ok
2003-04-30,576566,ok
2003-05-31,578180,ok
2003-06-30,578240,ok
2003-07-31,578744,ok
2003-08-31,580233,ok
2003-09-30,582921,ok
2003-10-31,585524,ok
2003-11-30,589514,ok
2003-12-31,594353,ok
2004-01-31,601661,ok
2004-02-29,610020,ok
2004-03-31,618379,ok
2004-04-30,626657,ok
2004-05-31,636665,ok
2004-06-30,647052,ok
2004-07-31,656174,ok
2004-08-31,662406,ok
2004-09-30,671364,ok
2004-10-31,682876,ok
2004-11-30,694767,ok
2004-12-31,704659,ok
2005-01-31,711557,ok
2005-02-28,720672,ok
2005-03-31,729355,ok
2005-04-30,740190,ok
2005-05-31,751143,ok
2005-06-30,761259,ok
2005-07-31,768951,ok
2005-08-31,773650,ok
2005-09-30,779785,ok
2005-10-31,786860,ok
2005-11-30,792292,ok
2005-12-31,795397,ok
2006-01-31,795150,ok
2006-02-28,790644,ok
2006-03-31,786873,ok
2006-04-30,785800,ok
2006-05-31,790523,ok
2006-06-30,794649,ok
2006-07-31,795082,ok
2006-08-31,793850,ok
2006-09-30,791384,ok
2006-10-31,788051,ok
2006-11-30,785284,ok
2006-12-31,783013,ok
2007-01-31,781820,ok
2007-02-28,782041,ok
2007-03-31,786141,ok
2007-04-30,794121,ok
2007-05-31,801218,ok
2007-06-30,805236,ok
2007-07-31,805678,ok
2007-08-31,806197,ok
2007-09-30,806263,ok
2007-10-31,806269,ok
2007-11-30,807106,ok
2007-12-31,804040,ok
2008-01-31,799725,ok
2008-02-29,789540,ok
2008-03-31,784082,ok
2008-04-30,778693,ok
2008-05-31,777426,ok
2008-06-30,771079,ok
2008-07-31,761879,ok
2008-08-31,752187,ok
2008-09-30,743544,ok
2008-10-31,738244,ok
2008-11-30,732752,ok
2008-12-31,728423,ok
2009-01-31,723491,ok
2009-02-28,716597,ok
2009-03-31,708650,ok
2009-04-30,698001,ok
2009-05-31,688011,ok
2009-06-30,680920,ok
2009-07-31,677854,ok
2009-08-31,672799,ok
2009-09-30,664140,ok
2009-10-31,658327,ok
2009-11-30,655722,ok
2009-12-31,661561,ok
2010-01-31,666692,ok
2010-02-28,674477,ok
2010-03-31,676342,ok
2010-04-30,677287,ok
2010-05-31,674638,ok
2010-06-30,672398,ok
2010-07-31,667651,ok
2010-08-31,667241,ok
2010-09-30,667025,ok
2010-10-31,666292,ok
2010-11-30,661666,ok
2010-12-31,654319,ok
2011-01-31,648053,ok
2011-02-28,642402,ok
2011-03-31,639387,ok
2011-04-30,636389,ok
2011-05-31,631924,ok
2011-06-30,625310,ok
2011-07-31,621940,ok
2011-08-31,620304,ok
2011-09-30,619780,ok
2011-10-31,617659,ok
2011-11-30,615481,ok
2011-12-31,614967,ok
2012-01-31,614613,ok
2012-02-29,616864,ok
2012-03-31,621909,ok
2012-04-30,630433,ok
2012-05-31,640491,ok
2012-06-30,651510,ok
2012-07-31,662878,ok
2012-08-31,675249,ok
2012-09-30,687970,ok
2012-10-31,700668,ok
2012-11-30,714004,ok
2012-12-31,726349,ok
2013-01-31,738117,ok
2013-02-28,747414,ok
2013-03-31,756658,ok
2013-04-30,767403,ok
2013-05-31,781528,ok
2013-06-30,797993,ok
2013-07-31,811748,ok
2013-08-31,820878,ok
2013-09-30,827941,ok
2013-10-31,836018,ok
2013-11-30,844146,ok
2013-12-31,850272,ok
2014-01-31,856107,ok
2014-02-28,864257,ok
2014-03-31,875211,ok
2014-04-30,890037,ok
2014-05-31,904684,ok
2014-06-30,918763,ok
2014-07-31,927463,ok
2014-08-31,934880,ok
2014-09-30,943208,ok
2014-10-31,954282,ok
2014-11-30,967006,ok
2014-12-31,980316,ok
2015-01-31,995583,ok
2015-02-28,1.01218e+06,ok
2015-03-31,1.02771e+06,ok
2015-04-30,1.04157e+06,ok
2015-05-31,1.05581e+06,ok
2015-06-30,1.07115e+06,ok
2015-07-31,1.08438e+06,ok
2015-08-31,1.09647e+06,ok
2015-09-30,1.10874e+06,ok
2015-10-31,1.12337e+06,ok
2015-11-30,1.13533e+06,ok
2015-12-31,1.14347e+06,ok
2016-01-31,1.1519e+06,ok
2016-02-29,1.16249e+06,ok
2016-03-31,1.17057e+06,ok
2016-04-30,1.17269e+06,ok
