as_of,value,status
2015-01-31,3062.66,ok
2015-02-28,3077.87,ok
2015-03-31,3129.02,ok
2015-04-30,3197.46,ok
2015-05-31,3210.45,ok
2015-06-30,3255.86,ok
2015-07-31,3282.21,ok
2015-08-31,3323.23,ok
2015-09-30,3358.77,ok
2015-10-31,3367.94,ok
2015-11-30,3363.12,ok
2015-12-31,3321.9,ok
2016-01-31,3328.72,ok
2016-02-29,3331,ok
2016-03-31,3321.09,ok
2016-04-30,3313.17,ok
2016-05-31,3300.59,ok
2016-06-30,3325.87,ok
2016-07-31,3327.94,ok
2016-08-31,3322.56,ok
2016-09-30,3309.76,ok
2016-10-31,3277,ok
2016-11-30,3253.23,ok
2016-12-31,3229.54,ok
2017-01-31,3224,ok
2017-02-28,3250.76,ok
2017-03-31,3260.44,ok
2017-04-30,3268.57,ok
2017-05-31,3276.99,ok
2017-06-30,3307.79,ok
2017-07-31,3334.46,ok
2017-08-31,3352.73,ok
2017-09-30,3362.41,ok
2017-10-31,3364.47,ok
2017-11-30,3331.34,ok
2017-12-31,3320.6,ok
2018-01-31,3319.89,ok
2018-02-28,3346.26,ok
2018-03-31,3361.48,ok
2018-04-30,3372.26,ok
2018-05-31,3388.87,ok
2018-06-30,3404.51,ok
2018-07-31,3429.83,ok
2018-08-31,3462.09,ok
2018-09-30,3469.37,ok
2018-10-31,3466.48,ok
2018-11-30,3448.98,ok
2018-12-31,3441.17,ok
2019-01-31,3444.79,ok
2019-02-28,3454,ok
2019-03-31,3470.7,ok
2019-04-30,3474.92,ok
2019-05-31,3491.27,ok
2019-06-30,3511.15,ok
2019-07-31,3541.47,ok
2019-08-31,3550.63,ok
2019-09-30,3539.93,ok
2019-10-31,3518.85,ok
2019-11-30,3500.52,ok
2019-12-31,3498.08,ok
2020-01-31,3506.36,ok
2020-02-29,3515.56,ok
2020-03-31,3504.98,ok
2020-04-30,3485.13,ok
2020-05-31,3448.1,ok
2020-06-30,3409.61,ok
2020-07-31,3342.31,ok
2020-10-31,3004.28,ok
2020-11-30,2936.79,ok
2020-12-31,2902.94,ok
2021-01-31,2894.71,ok
2021-02-28,2906.09,ok
2021-03-31,2933.35,ok
2021-04-30,2974.99,ok
2021-05-31,3024.63,ok
2021-06-30,3098.54,ok
2021-07-31,3170.41,ok
2021-08-31,3227.81,ok
2021-09-30,3245.67,ok
2021-10-31,3234.18,ok
2021-11-30,3215.92,ok
2021-12-31,3202.12,ok
2022-01-31,3216.11,ok
2022-02-28,3244.19,ok
2022-03-31,3271.39,ok
2022-04-30,3290.91,ok
2022-05-31,3312.32,ok
2022-06-30,3334.82,ok
2022-07-31,3358.19,ok
2022-08-31,3377.64,ok
2022-09-30,3385.83,ok
2022-10-31,3383.31,ok
2022-11-30,3359.47,ok
2022-12-31,3331.9,ok
2023-01-31,3314.96,ok
2023-02-28,3316.79,ok
2023-03-31,3336.94,ok
2023-04-30,3330.69,ok
2023-05-31,3336.08,ok
2023-06-30,3336.12,ok
2023-07-31,3351.92,ok
2023-08-31,3356.27,ok
2023-09-30,3349.02,ok
2023-10-31,3328.68,ok
2023-11-30,3294.97,ok
2023-12-31,3264.37,ok
2024-01-31,3266.85,ok
2024-02-29,3284.23,ok
2024-03-31,3317.68,ok
2024-04-30,3336.59,ok
2024-05-31,3355.35,ok
2024-06-30,3369.35,ok
2024-07-31,3388.57,ok
2024-08-31,3400.19,ok
2024-09-30,3408.42,ok
2024-10-31,3405.12,ok
2024-11-30,3410.11,ok
2024-12-31,3411.28,ok
2025-01-31,3427.37,ok
2025-02-28,3454.77,ok
2025-03-31,3496.38,ok
2025-04-30,3540.38,ok
2025-05-31,3582.28,ok
2025-06-30,3634.83,ok
2025-07-31,3682.22,ok
2025-08-31,3739.5,ok
2025-09-30,3780.6,ok
2025-10-31,3808.96,ok
2025-11-30,3809.64,ok
2025-12-31,3819.43,ok
2026-01-31,3862.08,ok
2026-02-28,3935.07,ok
2026-03-31,4020.02,ok
2026-04-30,4119.23,ok
2026-05-31,4228.63,ok
2026-06-30,4375.22,ok
2026-07-31,4534.24,ok
2026-08-31,4682.5,ok
