as_of,value,status
1990-01-02,5.21,ok
1990-01-03,5.16,ok
1990-01-04,5.196,ok
1990-01-05,5.28,ok
1990-01-08,5.28,ok
1990-01-09,5.248,ok
1990-01-10,5.265,ok
1990-01-11,5.313,ok
1990-01-12,5.333,ok
1990-01-15,5.332,ok
1990-01-16,5.222,ok
1990-01-17,5.226,ok
1990-01-18,5.27,ok
1990-01-19,5.205,ok
1990-01-22,5.201,ok
1990-01-23,5.26,ok
1990-01-24,5.282,ok
1990-01-25,5.228,ok
1990-01-26,5.276,ok
1990-01-29,5.256,ok
1990-01-30,5.2,ok
1990-01-31,5.205,ok
1990-02-01,5.213,ok
1990-02-02,5.315,ok
1990-02-05,5.326,ok
1990-02-06,5.318,ok
1990-02-07,5.303,ok
1990-02-08,5.325,ok
1990-02-09,5.316,ok
1990-02-12,5.3,ok
1990-02-13,5.333,ok
1990-02-14,5.286,ok
1990-02-15,5.34,ok
1990-02-16,5.325,ok
1990-02-19,5.33,ok
1990-02-20,5.356,ok
1990-02-21,5.338,ok
1990-02-22,5.285,ok
1990-02-23,5.252,ok
1990-02-26,5.237,ok
1990-02-27,5.173,ok
1990-02-28,5.12,ok
1990-03-01,5.14,ok
1990-03-02,5.14,ok
1990-03-05,5.122,ok
1990-03-06,5.133,ok
1990-03-07,5.143,ok
1990-03-08,5.14,ok
1990-03-09,5.109,ok
1990-03-12,5.125,ok
1990-03-13,5.056,ok
1990-03-14,5.085,ok
1990-03-15,5.093,ok
1990-03-16,5.113,ok
1990-03-19,5.125,ok
1990-03-20,5.119,ok
1990-03-21,5.049,ok
1990-03-22,5.064,ok
1990-03-23,5.092,ok
1990-03-26,4.96,ok
1990-03-27,4.955,ok
1990-03-28,5.001,ok
1990-03-29,4.966,ok
1990-03-30,4.966,ok
1990-04-02,4.938,ok
1990-04-03,5.001,ok
1990-04-04,5.01,ok
1990-04-05,5.148,ok
1990-04-06,5.179,ok
1990-04-09,5.144,ok
1990-04-10,5.115,ok
1990-04-11,5.085,ok
1990-04-12,5.128,ok
1990-04-17,5.055,ok
1990-04-18,5.093,ok
1990-04-19,5.091,ok
1990-04-20,5.078,ok
1990-04-23,5.08,ok
1990-04-24,5.1,ok
1990-04-25,5.023,ok
1990-04-26,4.96,ok
1990-04-27,4.96,ok
1990-04-30,4.936,ok
1990-05-01,4.953,ok
1990-05-02,4.996,ok
1990-05-03,5.01,ok
1990-05-04,5.06,ok
1990-05-08,5.033,ok
1990-05-09,4.998,ok
1990-05-10,5.033,ok
1990-05-11,5.049,ok
1990-05-14,5.052,ok
1990-05-15,5.032,ok
1990-05-16,5.02,ok
1990-05-17,5.028,ok
1990-05-18,5.04,ok
1990-05-21,5.134,ok
1990-05-22,5.125,ok
1990-05-23,5.095,ok
1990-05-24,5.219,ok
1990-05-25,5.225,ok
1990-05-29,5.236,ok
1990-05-30,5.13,ok
1990-05-31,5.07,ok
1990-06-01,5.074,ok
1990-06-04,5.05,ok
1990-06-05,5.05,ok
1990-06-06,5.091,ok
1990-06-07,4.986,ok
1990-06-08,5.013,ok
1990-06-11,4.995,ok
1990-06-12,5.01,ok
1990-06-13,4.99,ok
1990-06-14,4.91,ok
1990-06-15,4.838,ok
1990-06-18,4.835,ok
1990-06-19,4.839,ok
1990-06-20,4.823,ok
1990-06-21,4.838,ok
1990-06-22,4.822,ok
1990-06-25,4.843,ok
1990-06-26,4.804,ok
1990-06-27,4.811,ok
1990-06-28,4.825,ok
1990-06-29,4.84,ok
1990-07-02,4.908,ok
1990-07-03,4.958,ok
1990-07-04,4.935,ok
1990-07-05,4.899,ok
1990-07-06,4.88,ok
1990-07-09,4.88,ok
1990-07-10,4.8,ok
1990-07-11,4.813,ok
1990-07-12,4.826,ok
1990-07-13,4.896,ok
1990-07-16,4.916,ok
1990-07-17,4.85,ok
1990-07-18,4.827,ok
1990-07-19,4.881,ok
1990-07-20,4.865,ok
1990-07-23,4.882,ok
1990-07-24,4.9,ok
1990-07-25,4.874,ok
1990-07-26,4.853,ok
1990-07-27,4.837,ok
1990-07-30,4.83,ok
1990-07-31,4.855,ok
1990-08-01,4.813,ok
1990-08-02,4.933,ok
1990-08-03,4.826,ok
1990-08-06,4.875,ok
1990-08-07,4.931,ok
1990-08-08,4.872,ok
1990-08-09,4.883,ok
1990-08-10,4.94,ok
1990-08-13,5.085,ok
1990-08-14,5.202,ok
1990-08-15,5.133,ok
1990-08-16,5.065,ok
1990-08-17,5.21,ok
1990-08-20,5.201,ok
1990-08-21,5.16,ok
1990-08-22,5.117,ok
1990-08-23,5.216,ok
1990-08-24,5.134,ok
1990-08-28,4.92,ok
1990-08-29,4.86,ok
1990-08-30,4.838,ok
1990-08-31,4.83,ok
1990-09-03,4.85,ok
1990-09-04,4.817,ok
1990-09-05,4.758,ok
1990-09-06,4.8,ok
1990-09-07,4.783,ok
1990-09-10,4.77,ok
1990-09-11,4.75,ok
1990-09-12,4.795,ok
