as_of,value,status
2016-07-25,2168.48,ok
2016-07-26,2169.18,ok
2016-07-27,2166.58,ok
2016-07-28,2170.06,ok
2016-07-29,2173.6,ok
2016-08-01,2170.84,ok
2016-08-02,2157.03,ok
2016-08-03,2163.79,ok
2016-08-04,2164.25,ok
2016-08-05,2182.87,ok
2016-08-08,2180.89,ok
2016-08-09,2181.74,ok
2016-08-10,2175.49,ok
2016-08-11,2185.79,ok
2016-08-12,2184.05,ok
2016-08-15,2190.15,ok
2016-08-16,2178.15,ok
2016-08-17,2182.22,ok
2016-08-18,2187.02,ok
2016-08-19,2183.87,ok
2016-08-22,2182.64,ok
2016-08-23,2186.9,ok
2016-08-24,2175.44,ok
2016-08-25,2172.47,ok
2016-08-26,2169.04,ok
2016-08-29,2180.38,ok
2016-08-30,2176.12,ok
2016-08-31,2170.95,ok
2016-09-01,2170.86,ok
2016-09-02,2179.98,ok
2016-09-06,2186.48,ok
2016-09-07,2186.16,ok
2016-09-08,2181.3,ok
2016-09-09,2127.81,ok
2016-09-12,2159.04,ok
2016-09-13,2127.02,ok
2016-09-14,2125.77,ok
2016-09-15,2147.26,ok
2016-09-16,2139.16,ok
2016-09-19,2139.12,ok
2016-09-20,2139.76,ok
2016-09-21,2163.12,ok
2016-09-22,2177.18,ok
2016-09-23,2164.69,ok
2016-09-26,2146.1,ok
2016-09-27,2159.93,ok
2016-09-28,2171.37,ok
2016-09-29,2151.13,ok
2016-09-30,2168.27,ok
2016-10-03,2161.2,ok
2016-10-04,2150.49,ok
2016-10-05,2159.73,ok
2016-10-06,2160.77,ok
2016-10-07,2153.74,ok
2016-10-10,2163.66,ok
2016-10-11,2136.73,ok
2016-10-12,2139.18,ok
2016-10-13,2132.55,ok
2016-10-14,2132.98,ok
2016-10-17,2126.5,ok
2016-10-18,2139.6,ok
2016-10-19,2144.29,ok
2016-10-20,2141.34,ok
2016-10-21,2141.16,ok
2016-10-24,2151.33,ok
2016-10-25,2143.16,ok
2016-10-26,2139.43,ok
2016-10-27,2133.04,ok
2016-10-28,2126.41,ok
2016-10-31,2126.15,ok
2016-11-01,2111.72,ok
2016-11-02,2097.94,ok
