as_of,value,status
2017-11-29,110105,ok
2017-11-30,110105,ok
2017-12-01,110105,ok
2017-12-02,110105,ok
2017-12-03,110105,ok
2017-12-04,110105,ok
2017-12-05,110105,ok
2017-12-06,110105,ok
2017-12-07,110105,ok
2017-12-08,110105,ok
2017-12-09,110105,ok
2017-12-10,110105,ok
2017-12-11,110105,ok
2017-12-12,110105,ok
2017-12-13,110105,ok
2017-12-14,110105,ok
2017-12-15,110105,ok
2017-12-16,110105,ok
2017-12-17,110105,ok
2017-12-18,110105,ok
2017-12-19,110105,ok
2017-12-20,110105,ok
2017-12-21,110105,ok
2017-12-22,110105,ok
2017-12-23,110105,ok
2017-12-24,110105,ok
2017-12-25,110105,ok
2017-12-26,110105,ok
2017-12-27,110105,ok
2017-12-28,110105,ok
2017-12-29,110105,ok
2017-12-30,110105,ok
2017-12-31,110105,ok
2018-01-01,110105,ok
2018-01-02,110105,ok
2018-01-03,110105,ok
2018-01-04,110105,ok
2018-01-05,110105,ok
2018-01-06,110105,ok
2018-01-07,110105,ok
2018-01-08,110105,ok
2018-01-09,110105,ok
2018-01-10,110105,ok
2018-01-11,3.01468e+07,ok
2018-01-12,3.01468e+07,ok
2018-01-13,3.01468e+07,ok
2018-01-14,3.01468e+07,ok
2018-01-15,3.01468e+07,ok
2018-01-16,3.01468e+07,ok
2018-01-17,3.01468e+07,ok
2018-01-18,3.01468e+07,ok
2018-01-19,3.01468e+07,ok
2018-01-20,3.01468e+07,ok
2018-01-21,3.01468e+07,ok
2018-01-22,3.01468e+07,ok
2018-01-23,3.01468e+07,ok
2018-01-24,3.01468e+07,ok
2018-01-25,3.01468e+07,ok
2018-01-26,3.01468e+07,ok
2018-01-27,3.01468e+07,ok
2018-01-28,3.01468e+07,ok
2018-01-29,6.01835e+07,ok
2018-01-30,6.01835e+07,ok
2018-01-31,6.01835e+07,ok
2018-02-01,6.01835e+07,ok
2018-02-02,6.01835e+07,ok
2018-02-03,6.01835e+07,ok
2018-02-04,6.01835e+07,ok
2018-02-05,6.01835e+07,ok
2018-02-06,6.01835e+07,ok
2018-02-07,6.01835e+07,ok
2018-02-08,6.01835e+07,ok
2018-02-09,6.01835e+07,ok
2018-02-10,6.01835e+07,ok
2018-02-11,6.01835e+07,ok
2018-02-12,6.01835e+07,ok
2018-02-13,6.01835e+07,ok
2018-02-14,6.01835e+07,ok
2018-02-15,6.01835e+07,ok
2018-02-16,6.01835e+07,ok
2018-02-17,6.01835e+07,ok
2018-02-18,6.01835e+07,ok
2018-02-19,6.01835e+07,ok
2018-02-20,6.01835e+07,ok
2018-02-21,6.01835e+07,ok
2018-02-22,6.01835e+07,ok
2018-02-23,6.01835e+07,ok
2018-02-24,6.01835e+07,ok
2018-02-25,6.01835e+07,ok
2018-02-26,6.01835e+07,ok
2018-02-27,6.01835e+07,ok
2018-02-28,6.01835e+07,ok
2018-03-01,6.01835e+07,ok
2018-03-02,6.01835e+07,ok
2018-03-03,6.01835e+07,ok
2018-03-04,6.01835e+07,ok
2018-03-05,6.01835e+07,ok
2018-03-06,6.01835e+07,ok
2018-03-07,6.01835e+07,ok
2018-03-08,6.01835e+07,ok
2018-03-09,6.01835e+07,ok
2018-03-10,6.01835e+07,ok
2018-03-11,6.01835e+07,ok
2018-03-12,6.01835e+07,ok
2018-03-13,6.01835e+07,ok
2018-03-14,6.01835e+07,ok
2018-03-15,6.01835e+07,ok
2018-03-16,6.01835e+07,ok
2018-03-17,6.01835e+07,ok
2018-03-18,6.01835e+07,ok
2018-03-19,6.01835e+07,ok
2018-03-20,6.01835e+07,ok
2018-03-21,6.01835e+07,ok
2018-03-22,6.01835e+07,ok
2018-03-23,6.01835e+07,ok
2018-03-24,6.01835e+07,ok
2018-03-25,6.01835e+07,ok
2018-03-26,6.01835e+07,ok
2018-03-27,6.01835e+07,ok
2018-03-28,6.01835e+07,ok
2018-03-29,6.01835e+07,ok
2018-03-30,6.01835e+07,ok
2018-03-31,6.01835e+07,ok
2018-04-01,6.01835e+07,ok
2018-04-02,6.01835e+07,ok
2018-04-03,6.01835e+07,ok
2018-04-04,6.01835e+07,ok
2018-04-05,6.01835e+07,ok
2018-04-06,6.01835e+07,ok
2018-04-07,6.01835e+07,ok
2018-04-08,6.01835e+07,ok
2018-04-09,6.01835e+07,ok
2018-04-10,6.01835e+07,ok
2018-04-11,6.01835e+07,ok
2018-04-12,6.01835e+07,ok
2018-04-13,6.01835e+07,ok
2018-04-14,6.01835e+07,ok
2018-04-15,6.01835e+07,ok
2018-04-16,6.01835e+07,ok
2018-04-17,6.01835e+07,ok
2018-04-18,6.01835e+07,ok
2018-04-19,6.01835e+07,ok
2018-04-20,6.01835e+07,ok
2018-04-21,6.01835e+07,ok
2018-04-22,6.01835e+07,ok
2018-04-23,6.01835e+07,ok
2018-04-24,6.01835e+07,ok
2018-04-25,6.01835e+07,ok
2018-04-26,6.01835e+07,ok
2018-04-27,6.01835e+07,ok
2018-04-28,6.01835e+07,ok
2018-04-29,6.01835e+07,ok
2018-04-30,6.01835e+07,ok
