as_of,value,status
2000-01-31,273111,ok
2000-02-29,274172,ok
2000-03-31,275624,ok
2000-04-30,278663,ok
2000-05-31,282466,ok
2000-06-30,286800,ok
2000-07-31,292952,ok
2000-08-31,299969,ok
2000-09-30,308371,ok
2000-10-31,316521,ok
2000-11-30,324986,ok
2000-12-31,332537,ok
2001-01-31,339476,ok
2001-02-28,345916,ok
2001-03-31,352512,ok
2001-04-30,359129,ok
2001-05-31,365697,ok
2001-06-30,371946,ok
2001-07-31,377769,ok
2001-08-31,382901,ok
2001-09-30,386954,ok
2001-10-31,389934,ok
2001-11-30,391976,ok
2001-12-31,393527,ok
2002-01-31,395133,ok
2002-02-28,396255,ok
2002-03-31,397735,ok
2002-04-30,399291,ok
2002-05-31,401506,ok
2002-06-30,403903,ok
2002-07-31,406912,ok
2002-08-31,410827,ok
2002-09-30,415515,ok
2002-10-31,420214,ok
2002-11-30,424361,ok
2002-12-31,428133,ok
2003-01-31,431467,ok
2003-02-28,436108,ok
2003-03-31,441452,ok
2003-04-30,447874,ok
2003-05-31,453380,ok
2003-06-30,457761,ok
2003-07-31,462459,ok
2003-08-31,466375,ok
2003-09-30,470311,ok
2003-10-31,472731,ok
2003-11-30,475249,ok
2003-12-31,478103,ok
2004-01-31,482118,ok
2004-02-29,488193,ok
2004-03-31,495232,ok
2004-04-30,503187,ok
2004-05-31,510988,ok
2004-06-30,519260,ok
2004-07-31,529621,ok
2004-08-31,540354,ok
2004-09-30,551916,ok
2004-10-31,562419,ok
2004-11-30,572744,ok
2004-12-31,581965,ok
2005-01-31,589875,ok
2005-02-28,597653,ok
2005-03-31,605401,ok
2005-04-30,613641,ok
2005-05-31,622910,ok
2005-06-30,633164,ok
2005-07-31,643910,ok
2005-08-31,653958,ok
2005-09-30,662895,ok
2005-10-31,669604,ok
2005-11-30,673987,ok
2005-12-31,678390,ok
2006-01-31,682980,ok
2006-02-28,688539,ok
2006-03-31,694334,ok
2006-04-30,699471,ok
2006-05-31,703197,ok
2006-06-30,704657,ok
2006-07-31,703609,ok
2006-08-31,702637,ok
2006-09-30,699773,ok
2006-10-31,694334,ok
2006-11-30,687142,ok
2006-12-31,680307,ok
2007-01-31,676909,ok
2007-02-28,674398,ok
2007-03-31,673369,ok
2007-04-30,672139,ok
2007-05-31,670992,ok
2007-06-30,670253,ok
2007-07-31,669417,ok
2007-08-31,667100,ok
2007-09-30,662602,ok
2007-10-31,657633,ok
2007-11-30,651170,ok
2007-12-31,643470,ok
2008-01-31,633353,ok
2008-02-29,624273,ok
2008-03-31,615165,ok
2008-04-30,607074,ok
2008-05-31,598052,ok
2008-06-30,590351,ok
2008-07-31,584118,ok
2008-08-31,581178,ok
2008-09-30,576366,ok
2008-10-31,570855,ok
2008-11-30,563483,ok
2008-12-31,557811,ok
2009-01-31,551920,ok
2009-02-28,545208,ok
2009-03-31,537172,ok
2009-04-30,529333,ok
2009-05-31,522130,ok
2009-06-30,515448,ok
2009-07-31,509401,ok
2009-08-31,502535,ok
2009-09-30,496305,ok
2009-10-31,490546,ok
2009-11-30,486285,ok
2009-12-31,481983,ok
2010-01-31,479086,ok
2010-02-28,478927,ok
2010-03-31,479447,ok
2010-04-30,477977,ok
2010-05-31,474303,ok
2010-06-30,471354,ok
2010-07-31,468802,ok
2010-08-31,465733,ok
2010-09-30,460652,ok
2010-10-31,455494,ok
2010-11-30,450580,ok
2010-12-31,446883,ok
2011-01-31,443647,ok
2011-02-28,440002,ok
2011-03-31,436884,ok
2011-04-30,433337,ok
2011-05-31,430528,ok
2011-06-30,428931,ok
2011-07-31,428071,ok
2011-08-31,426272,ok
2011-09-30,424832,ok
2011-10-31,423311,ok
2011-11-30,423595,ok
2011-12-31,423092,ok
2012-01-31,422105,ok
2012-02-29,419794,ok
2012-03-31,417097,ok
2012-04-30,415568,ok
2012-05-31,415288,ok
2012-06-30,416092,ok
2012-07-31,415708,ok
2012-08-31,416082,ok
2012-09-30,416255,ok
2012-10-31,417814,ok
2012-11-30,420059,ok
2012-12-31,424157,ok
2013-01-31,429579,ok
2013-02-28,434533,ok
2013-03-31,438631,ok
2013-04-30,443700,ok
2013-05-31,451386,ok
2013-06-30,460236,ok
2013-07-31,465677,ok
2013-08-31,469093,ok
2013-09-30,471700,ok
2013-10-31,475761,ok
2013-11-30,479560,ok
2013-12-31,483829,ok
2014-01-31,488079,ok
2014-02-28,491971,ok
2014-03-31,495869,ok
2014-04-30,501566,ok
2014-05-31,508566,ok
2014-06-30,513405,ok
2014-07-31,514294,ok
2014-08-31,512969,ok
2014-09-30,513248,ok
2014-10-31,515969,ok
2014-11-30,520677,ok
2014-12-31,526066,ok
2015-01-31,532421,ok
2015-02-28,538005,ok
2015-03-31,541804,ok
2015-04-30,544406,ok
2015-05-31,546644,ok
2015-06-30,547764,ok
2015-07-31,546100,ok
2015-08-31,544067,ok
2015-09-30,544673,ok
2015-10-31,548454,ok
2015-11-30,553495,ok
2015-12-31,558328,ok
2016-01-31,563516,ok
2016-02-29,567565,ok
2016-03-31,569978,ok
2016-04-30,571170,ok
2016-05-31,571974,ok
2016-06-30,571824,ok
2016-07-31,570286,ok
2016-08-31,569003,ok
2016-09-30,569090,ok
2016-10-31,571009,ok
2016-11-30,573882,ok
2016-12-31,577622,ok
2017-01-31,581548,ok
2017-02-28,585804,ok
2017-03-31,589377,ok
2017-04-30,593136,ok
2017-05-31,595541,ok
2017-06-30,598482,ok
2017-07-31,600563,ok
2017-08-31,602914,ok
2017-09-30,604757,ok
2017-10-31,607367,ok
2017-11-30,610889,ok
2017-12-31,615255,ok
2018-01-31,620156,ok
2018-02-28,624417,ok
2018-03-31,628545,ok
2018-04-30,633007,ok
2018-05-31,638595,ok
2018-06-30,643514,ok
2018-07-31,646156,ok
2018-08-31,647739,ok
2018-09-30,649079,ok
2018-10-31,651928,ok
2018-11-30,654421,ok
2018-12-31,656137,ok
2019-01-31,657430,ok
2019-02-28,659058,ok
2019-03-31,662199,ok
2019-04-30,666338,ok
2019-05-31,669979,ok
2019-06-30,673061,ok
2019-07-31,674283,ok
2019-08-31,675321,ok
2019-09-30,675093,ok
2019-10-31,675034,ok
2019-11-30,674367,ok
2019-12-31,673395,ok
2020-01-31,673256,ok
2020-02-29,675565,ok
2020-03-31,679688,ok
2020-04-30,683580,ok
2020-05-31,684044,ok
2020-06-30,682825,ok
2020-07-31,683321,ok
2020-08-31,689679,ok
2020-09-30,690689,ok
2020-10-31,723998,ok
2020-11-30,779384,ok
2020-12-31,802937,ok
2021-01-31,800000,ok
2021-02-28,823252,ok
2021-03-31,846998,ok
2021-04-30,875607,ok
2021-05-31,910905,ok
2021-06-30,947621,ok
2021-07-31,978400,ok
2021-08-31,998117,ok
2021-09-30,1.00927e+06,ok
2021-10-31,1.01618e+06,ok
2021-11-30,1.02202e+06,ok
2021-12-31,1.02897e+06,ok
2022-01-31,1.04369e+06,ok
2022-02-28,1.06538e+06,ok
2022-03-31,1.09403e+06,ok
2022-04-30,1.12299e+06,ok
2022-05-31,1.14632e+06,ok
2022-06-30,1.15792e+06,ok
2022-07-31,1.1524e+06,ok
2022-08-31,1.13205e+06,ok
2022-09-30,1.10493e+06,ok
2022-10-31,1.08317e+06,ok
2022-11-30,1.06793e+06,ok
2022-12-31,1.05296e+06,ok
2023-01-31,1.03317e+06,ok
2023-02-28,1.01438e+06,ok
2023-03-31,999998,ok
2023-04-30,991582,ok
2023-05-31,985751,ok
2023-06-30,984827,ok
2023-07-31,987973,ok
2023-08-31,993724,ok
2023-09-30,998566,ok
2023-10-31,1.00131e+06,ok
2023-11-30,1.0003e+06,ok
2023-12-31,996853,ok
2024-01-31,989744,ok
2024-02-29,985128,ok
2024-03-31,985374,ok
2024-04-30,989112,ok
2024-05-31,992249,ok
2024-06-30,991484,ok
2024-07-31,990417,ok
2024-08-31,991423,ok
2024-09-30,995047,ok
2024-10-31,997730,ok
2024-11-30,999567,ok
2024-12-31,1.00148e+06,ok
2025-01-31,1.00313e+06,ok
2025-02-28,1.00242e+06,ok
2025-03-31,999603,ok
2025-04-30,995711,ok
2025-05-31,992731,ok
2025-06-30,987962,ok
2025-07-31,985529,ok
2025-08-31,984039,ok
2025-09-30,986218,ok
2025-10-31,987332,ok
2025-11-30,989059,ok
2025-12-31,991029,ok
2026-01-31,993695,ok
2026-02-28,996069,ok
2026-03-31,998310,ok
2026-04-30,1.00052e+06,ok
2026-05-31,1.00414e+06,ok
2026-06-30,1.00935e+06,ok
2026-07-31,1.01708e+06,ok
2026-08-31,1.02545e+06,ok
