as_of,value,status
2015-07-20,280,ok
2015-07-21,277.32,ok
2015-07-22,277.89,ok
2015-07-23,277.39,ok
2015-07-24,289.12,ok
2015-07-25,289.7,ok
2015-07-26,293.89,ok
2015-07-27,294.21,ok
2015-07-28,295.76,ok
2015-07-29,290.19,ok
2015-07-30,288.49,ok
2015-07-31,285.19,ok
2015-08-01,281.53,ok
2015-08-02,282.62,ok
2015-08-03,280.95,ok
2015-08-04,285.51,ok
2015-08-05,282.77,ok
2015-08-06,279.65,ok
2015-08-07,279.94,ok
2015-08-08,262.02,ok
2015-08-09,267.63,ok
2015-08-10,265.15,ok
2015-08-11,271.99,ok
2015-08-12,266.94,ok
2015-08-13,264.67,ok
2015-08-14,266.17,ok
2015-08-15,262.46,ok
2015-08-16,259.2,ok
2015-08-17,257.31,ok
2015-08-18,221.99,ok
2015-08-19,227.34,ok
2015-08-20,235.56,ok
2015-08-21,232.85,ok
2015-08-22,231.15,ok
2015-08-23,229.21,ok
2015-08-24,211.16,ok
2015-08-25,223.73,ok
2015-08-26,226.81,ok
2015-08-27,225.8,ok
2015-08-28,231.55,ok
2015-08-29,230.61,ok
2015-08-30,229.39,ok
2015-08-31,230.75,ok
2015-09-01,228.22,ok
2015-09-02,229.97,ok
2015-09-03,227.25,ok
2015-09-04,231.39,ok
2015-09-05,236.01,ok
2015-09-06,241.29,ok
2015-09-07,241.31,ok
2015-09-08,244.14,ok
2015-09-09,238.75,ok
2015-09-10,238.52,ok
2015-09-11,240.9,ok
2015-09-12,236.5,ok
2015-09-13,230.82,ok
2015-09-14,231.01,ok
2015-09-15,230.6,ok
2015-09-16,229.73,ok
2015-09-17,233.34,ok
2015-09-18,233.78,ok
2015-09-19,232.88,ok
2015-09-20,232.24,ok
2015-09-21,227.31,ok
2015-09-22,231.28,ok
2015-09-23,230.26,ok
2015-09-24,235.27,ok
2015-09-25,235.89,ok
2015-09-26,234.69,ok
2015-09-27,233.58,ok
2015-09-28,239.99,ok
