as_of,value,status
2016-05-18,13.18,ok
2016-05-19,14.9,ok
2016-05-20,14.17,ok
2016-05-23,13.61,ok
2016-05-24,12.77,ok
2016-05-25,12.61,ok
2016-05-26,12.47,ok
2016-05-27,10.98,ok
2016-05-28,12.02,ok
2016-05-29,12.34,ok
2016-05-30,12.88,ok
2016-05-31,14.16,ok
2016-06-01,13.93,ok
2016-06-02,14.03,ok
2016-06-03,13.98,ok
2016-06-04,13.95,ok
2016-06-05,14.04,ok
2016-06-06,14.22,ok
2016-06-07,14.52,ok
2016-06-08,14.64,ok
2016-06-09,14.71,ok
2016-06-10,13.91,ok
2016-06-11,14.1,ok
2016-06-12,15.58,ok
2016-06-13,17.89,ok
2016-06-14,18.79,ok
2016-06-15,18.42,ok
2016-06-16,20.99,ok
2016-06-17,15.65,ok
2016-06-18,11.64,ok
2016-06-19,12.35,ok
2016-06-20,11.81,ok
2016-06-21,13.89,ok
2016-06-22,13.18,ok
2016-06-23,13.81,ok
2016-06-24,14.55,ok
2016-06-25,14.37,ok
2016-06-26,14.02,ok
2016-06-27,14.1,ok
2016-06-28,12.23,ok
2016-06-29,12.74,ok
2016-06-30,12.49,ok
2016-07-01,12.34,ok
2016-07-02,12.09,ok
2016-07-03,12.02,ok
2016-07-04,11.48,ok
2016-07-05,10.6,ok
2016-07-06,10.61,ok
2016-07-07,10.08,ok
2016-07-08,11.43,ok
2016-07-09,11.01,ok
2016-07-10,11.02,ok
2016-07-11,10.72,ok
2016-07-12,10.57,ok
2016-07-13,10.49,ok
2016-07-14,11.62,ok
2016-07-15,11.99,ok
2016-07-16,11.8,ok
2016-07-17,11.33,ok
2016-07-18,11.05,ok
2016-07-19,11.75,ok
2016-07-20,12.5,ok
2016-07-21,12.76,ok
2016-07-22,14.83,ok
2016-07-23,14.52,ok
2016-07-24,12.78,ok
2016-07-25,13.91,ok
2016-07-26,12,ok
2016-07-27,13.1,ok
2016-07-28,12.93,ok
2016-07-29,12.84,ok
2016-07-30,12.49,ok
2016-07-31,11.99,ok
2016-08-01,10.95,ok
2016-08-02,8.78,ok
2016-08-03,10.68,ok
2016-08-04,11.32,ok
2016-08-05,11.18,ok
2016-08-06,11.01,ok
2016-08-07,10.99,ok
2016-08-08,11.34,ok
2016-08-09,12.28,ok
2016-08-10,12.21,ok
2016-08-11,11.73,ok
2016-08-12,11.81,ok
2016-08-13,11.61,ok
2016-08-14,11.28,ok
2016-08-15,11.3,ok
2016-08-16,11.18,ok
2016-08-17,10.82,ok
2016-08-18,10.77,ok
2016-08-19,10.77,ok
2016-08-20,11.3,ok
2016-08-21,11.21,ok
2016-08-22,11.1,ok
2016-08-23,11,ok
2016-08-24,11.01,ok
2016-08-25,11.34,ok
2016-08-26,11.28,ok
2016-08-27,11.18,ok
2016-08-28,11.01,ok
2016-08-29,10.95,ok
2016-08-30,11.21,ok
2016-08-31,11.7,ok
2016-09-01,12.05,ok
2016-09-02,12.15,ok
2016-09-03,11.88,ok
2016-09-04,11.77,ok
2016-09-05,11.76,ok
2016-09-06,11.71,ok
2016-09-07,11.58,ok
2016-09-08,11.39,ok
2016-09-09,11.64,ok
2016-09-10,12.21,ok
2016-09-11,11.65,ok
2016-09-12,11.86,ok
2016-09-13,11.92,ok
2016-09-14,11.91,ok
2016-09-15,11.96,ok
2016-09-16,12.58,ok
2016-09-17,12.79,ok
2016-09-18,12.64,ok
2016-09-19,13.17,ok
2016-09-20,14.56,ok
2016-09-21,13.76,ok
2016-09-22,13.2,ok
2016-09-23,13.37,ok
2016-09-24,12.97,ok
2016-09-25,13.12,ok
2016-09-26,12.84,ok
2016-09-27,13.09,ok
2016-09-28,13.32,ok
2016-09-29,13.11,ok
2016-09-30,13.23,ok
2016-10-01,13.22,ok
2016-10-02,13.28,ok
2016-10-03,13.51,ok
2016-10-04,13.32,ok
2016-10-05,13.09,ok
2016-10-06,12.86,ok
2016-10-07,12.7,ok
2016-10-08,12.26,ok
2016-10-09,12.1,ok
2016-10-10,11.78,ok
2016-10-11,11.77,ok
2016-10-12,11.92,ok
2016-10-13,11.87,ok
2016-10-14,11.92,ok
2016-10-15,11.95,ok
2016-10-16,11.95,ok
2016-10-17,11.96,ok
2016-10-18,12.54,ok
2016-10-19,12.01,ok
2016-10-20,12.06,ok
2016-10-21,12.05,ok
2016-10-22,12.03,ok
2016-10-23,11.94,ok
2016-10-24,11.92,ok
2016-10-25,11.33,ok
2016-10-26,11.49,ok
2016-10-27,11.48,ok
2016-10-28,11.13,ok
2016-10-29,10.47,ok
2016-10-30,11.19,ok
2016-10-31,10.97,ok
2016-11-01,10.84,ok
2016-11-02,10.83,ok
2016-11-03,10.87,ok
2016-11-04,11.15,ok
2016-11-05,11.16,ok
2016-11-06,11.01,ok
2016-11-07,10.93,ok
2016-11-08,10.84,ok
2016-11-09,10.62,ok
2016-11-10,10.51,ok
2016-11-11,10.29,ok
2016-11-12,9.95,ok
2016-11-13,10.14,ok
2016-11-14,10.02,ok
2016-11-15,10.27,ok
2016-11-16,10,ok
2016-11-17,9.91,ok
