as_of,value,status
2000-01-31,125207,ok
2000-02-29,125427,ok
2000-03-31,125700,ok
2000-04-30,126286,ok
2000-05-31,126961,ok
2000-06-30,127684,ok
2000-07-31,128449,ok
2000-08-31,129276,ok
2000-09-30,130136,ok
2000-10-31,130999,ok
2000-11-30,131858,ok
2000-12-31,132718,ok
2001-01-31,133507,ok
2001-02-28,134206,ok
2001-03-31,134881,ok
2001-04-30,135610,ok
2001-05-31,136397,ok
2001-06-30,137204,ok
2001-07-31,138035,ok
2001-08-31,138903,ok
2001-09-30,139778,ok
2001-10-31,140650,ok
2001-11-30,141463,ok
2001-12-31,142224,ok
2002-01-31,142898,ok
2002-02-28,143542,ok
2002-03-31,144199,ok
2002-04-30,144914,ok
2002-05-31,145704,ok
2002-06-30,146559,ok
2002-07-31,147496,ok
2002-08-31,148497,ok
2002-09-30,149511,ok
2002-10-31,150524,ok
2002-11-30,151489,ok
2002-12-31,152427,ok
2003-01-31,153277,ok
2003-02-28,154090,ok
2003-03-31,154903,ok
2003-04-30,155788,ok
2003-05-31,156761,ok
2003-06-30,157771,ok
2003-07-31,158833,ok
2003-08-31,159962,ok
2003-09-30,161156,ok
2003-10-31,162362,ok
2003-11-30,163482,ok
2003-12-31,164536,ok
2004-01-31,165542,ok
2004-02-29,166617,ok
2004-03-31,167803,ok
2004-04-30,169129,ok
2004-05-31,170621,ok
2004-06-30,172247,ok
2004-07-31,173999,ok
2004-08-31,175776,ok
2004-09-30,177530,ok
2004-10-31,179212,ok
2004-11-30,180790,ok
2004-12-31,182345,ok
2005-01-31,183849,ok
2005-02-28,185384,ok
2005-03-31,186967,ok
2005-04-30,188750,ok
2005-05-31,190645,ok
2005-06-30,192630,ok
2005-07-31,194629,ok
2005-08-31,196651,ok
2005-09-30,198640,ok
2005-10-31,200524,ok
2005-11-30,202243,ok
2005-12-31,203797,ok
2006-01-31,205127,ok
2006-02-28,206363,ok
2006-03-31,207607,ok
2006-04-30,208945,ok
2006-05-31,210264,ok
2006-06-30,211429,ok
2006-07-31,212341,ok
2006-08-31,213042,ok
2006-09-30,213502,ok
2006-10-31,213826,ok
2006-11-30,213996,ok
2006-12-31,214099,ok
2007-01-31,214137,ok
2007-02-28,214177,ok
2007-03-31,214206,ok
2007-04-30,214236,ok
2007-05-31,214141,ok
2007-06-30,213870,ok
2007-07-31,213365,ok
2007-08-31,212769,ok
2007-09-30,212058,ok
2007-10-31,211293,ok
2007-11-30,210375,ok
2007-12-31,209407,ok
2008-01-31,208296,ok
2008-02-29,207072,ok
2008-03-31,205696,ok
2008-04-30,204211,ok
2008-05-31,202666,ok
2008-06-30,201042,ok
2008-07-31,199313,ok
2008-08-31,197396,ok
2008-09-30,195456,ok
2008-10-31,193562,ok
2008-11-30,191709,ok
2008-12-31,189873,ok
2009-01-31,188081,ok
2009-02-28,186553,ok
2009-03-31,185152,ok
2009-04-30,183832,ok
2009-05-31,182497,ok
2009-06-30,181239,ok
2009-07-31,180100,ok
2009-08-31,179047,ok
2009-09-30,178079,ok
2009-10-31,177288,ok
2009-11-30,176841,ok
2009-12-31,176641,ok
2010-01-31,176576,ok
2010-02-28,176505,ok
2010-03-31,176501,ok
2010-04-30,176607,ok
2010-05-31,176668,ok
2010-06-30,176523,ok
2010-07-31,175971,ok
2010-08-31,175157,ok
2010-09-30,174147,ok
2010-10-31,173103,ok
2010-11-30,172043,ok
2010-12-31,171057,ok
2011-01-31,170143,ok
2011-02-28,169297,ok
2011-03-31,168491,ok
2011-04-30,167649,ok
2011-05-31,166761,ok
2011-06-30,165891,ok
2011-07-31,165157,ok
2011-08-31,164541,ok
2011-09-30,164012,ok
2011-10-31,163492,ok
2011-11-30,163050,ok
2011-12-31,162665,ok
2012-01-31,162431,ok
2012-02-29,162412,ok
2012-03-31,162628,ok
2012-04-30,162996,ok
2012-05-31,163447,ok
2012-06-30,163987,ok
2012-07-31,164577,ok
2012-08-31,165082,ok
2012-09-30,165659,ok
2012-10-31,166283,ok
2012-11-30,167028,ok
2012-12-31,167808,ok
2013-01-31,168703,ok
2013-02-28,169663,ok
2013-03-31,170666,ok
2013-04-30,171757,ok
2013-05-31,173033,ok
2013-06-30,174449,ok
2013-07-31,175734,ok
2013-08-31,176986,ok
2013-09-30,178129,ok
2013-10-31,179397,ok
2013-11-30,180435,ok
2013-12-31,181385,ok
2014-01-31,182213,ok
2014-02-28,183098,ok
2014-03-31,183990,ok
2014-04-30,184887,ok
2014-05-31,185910,ok
2014-06-30,186817,ok
2014-07-31,187708,ok
2014-08-31,188391,ok
2014-09-30,189030,ok
2014-10-31,189452,ok
2014-11-30,190002,ok
2014-12-31,190675,ok
2015-01-31,191504,ok
2015-02-28,192329,ok
2015-03-31,193167,ok
2015-04-30,194084,ok
2015-05-31,195095,ok
2015-06-30,196066,ok
2015-07-31,197069,ok
2015-08-31,198122,ok
2015-09-30,199285,ok
2015-10-31,200508,ok
2015-11-30,201607,ok
2015-12-31,202700,ok
2016-01-31,203878,ok
2016-02-29,205051,ok
2016-03-31,205923,ok
2016-04-30,206721,ok
2016-05-31,207522,ok
2016-06-30,208499,ok
2016-07-31,209242,ok
2016-08-31,209940,ok
2016-09-30,210707,ok
2016-10-31,211672,ok
2016-11-30,212741,ok
2016-12-31,213870,ok
2017-01-31,215001,ok
2017-02-28,216184,ok
2017-03-31,217402,ok
2017-04-30,218725,ok
2017-05-31,219903,ok
2017-06-30,221007,ok
2017-07-31,221948,ok
2017-08-31,222913,ok
2017-09-30,223917,ok
2017-10-31,225063,ok
2017-11-30,226298,ok
2017-12-31,227591,ok
2018-01-31,228869,ok
2018-02-28,230111,ok
2018-03-31,231547,ok
2018-04-30,232855,ok
2018-05-31,234125,ok
2018-06-30,235047,ok
2018-07-31,236215,ok
2018-08-31,237335,ok
2018-09-30,238468,ok
2018-10-31,239247,ok
2018-11-30,240031,ok
2018-12-31,240868,ok
2019-01-31,241877,ok
2019-02-28,243049,ok
2019-03-31,244287,ok
2019-04-30,245392,ok
2019-05-31,246215,ok
2019-06-30,246938,ok
2019-07-31,247605,ok
2019-08-31,248337,ok
2019-09-30,248982,ok
2019-10-31,249880,ok
2019-11-30,251102,ok
2019-12-31,252540,ok
2020-01-31,254122,ok
2020-02-29,255669,ok
2020-03-31,257278,ok
2020-04-30,258656,ok
2020-05-31,259432,ok
2020-06-30,259868,ok
2020-07-31,260569,ok
2020-08-31,262247,ok
2020-09-30,265129,ok
2020-10-31,268650,ok
2020-11-30,272632,ok
2020-12-31,276513,ok
2021-01-31,280245,ok
2021-02-28,284061,ok
2021-03-31,288043,ok
2021-04-30,292399,ok
2021-05-31,297231,ok
2021-06-30,302428,ok
2021-07-31,307092,ok
2021-08-31,310407,ok
2021-09-30,312430,ok
2021-10-31,314413,ok
2021-11-30,317102,ok
2021-12-31,320415,ok
2022-01-31,324973,ok
2022-02-28,330432,ok
2022-03-31,336851,ok
2022-04-30,343266,ok
2022-05-31,348998,ok
2022-06-30,353790,ok
2022-07-31,356308,ok
2022-08-31,356691,ok
2022-09-30,355382,ok
2022-10-31,354124,ok
2022-11-30,353091,ok
2022-12-31,352152,ok
2023-01-31,350923,ok
2023-02-28,350024,ok
2023-03-31,349960,ok
2023-04-30,350956,ok
2023-05-31,352636,ok
2023-06-30,354638,ok
2023-07-31,356443,ok
2023-08-31,358119,ok
2023-09-30,359385,ok
2023-10-31,360332,ok
2023-11-30,361003,ok
2023-12-31,361449,ok
2024-01-31,361892,ok
2024-02-29,362704,ok
2024-03-31,364283,ok
2024-04-30,366185,ok
2024-05-31,367654,ok
2024-06-30,368230,ok
2024-07-31,368381,ok
2024-08-31,368631,ok
2024-09-30,369093,ok
2024-10-31,369696,ok
2024-11-30,370201,ok
2024-12-31,370938,ok
2025-01-31,371584,ok
2025-02-28,372054,ok
2025-03-31,371772,ok
2025-04-30,371232,ok
2025-05-31,370530,ok
2025-06-30,369898,ok
2025-07-31,369462,ok
2025-08-31,369229,ok
2025-09-30,369476,ok
2025-10-31,369920,ok
2025-11-30,370612,ok
2025-12-31,371421,ok
2026-01-31,372194,ok
2026-02-28,372924,ok
2026-03-31,373426,ok
2026-04-30,373508,ok
2026-05-31,373242,ok
2026-06-30,372995,ok
