as_of,value,status
2015-01-31,1152.1,ok
2015-02-28,1157.42,ok
2015-03-31,1163.13,ok
2015-04-30,1167.76,ok
2015-05-31,1171.86,ok
2015-06-30,1175.72,ok
2015-07-31,1180.21,ok
2015-08-31,1185.19,ok
2015-09-30,1190.42,ok
2015-10-31,1195.45,ok
2015-11-30,1200.19,ok
2015-12-31,1204.54,ok
2016-01-31,1208.07,ok
2016-02-29,1211.02,ok
2016-03-31,1212.8,ok
2016-04-30,1216.26,ok
2016-05-31,1219.94,ok
2016-06-30,1224.65,ok
2016-07-31,1228.19,ok
2016-08-31,1231.97,ok
2016-09-30,1235.5,ok
2016-10-31,1239.28,ok
2016-11-30,1242.56,ok
2016-12-31,1245.8,ok
2017-01-31,1250.46,ok
2017-02-28,1255.92,ok
2017-03-31,1262.69,ok
2017-04-30,1267.49,ok
2017-05-31,1272.19,ok
2017-06-30,1275.92,ok
2017-07-31,1279.9,ok
2017-08-31,1283.28,ok
2017-09-30,1287.88,ok
2017-10-31,1291.68,ok
2017-11-30,1296.21,ok
2017-12-31,1300.54,ok
2018-01-31,1305.44,ok
2018-02-28,1310.38,ok
2018-03-31,1314.44,ok
2018-04-30,1318.67,ok
2018-05-31,1322.2,ok
2018-06-30,1326.5,ok
2018-07-31,1331.04,ok
2018-08-31,1336.01,ok
2018-09-30,1340.01,ok
2018-10-31,1345.14,ok
2018-11-30,1350.66,ok
2018-12-31,1356.11,ok
2019-01-31,1359.98,ok
2019-02-28,1363.3,ok
2019-03-31,1367.35,ok
2019-04-30,1371.99,ok
2019-05-31,1377.24,ok
2019-06-30,1382.2,ok
2019-07-31,1387.09,ok
2019-08-31,1391.89,ok
2019-09-30,1396.89,ok
2019-10-31,1401.39,ok
2019-11-30,1405.35,ok
2019-12-31,1409.53,ok
2020-01-31,1414.44,ok
2020-02-29,1419.67,ok
2020-03-31,1423.79,ok
2020-04-30,1422.27,ok
2020-05-31,1418.73,ok
2020-06-30,1415.63,ok
2020-07-31,1416.58,ok
2020-08-31,1417.02,ok
2020-09-30,1417.98,ok
2020-10-31,1421.43,ok
2020-11-30,1426.89,ok
2020-12-31,1434.1,ok
2021-01-31,1444.25,ok
2021-02-28,1455.11,ok
2021-03-31,1466.94,ok
2021-04-30,1481.54,ok
2021-05-31,1500.8,ok
2021-06-30,1523.49,ok
2021-07-31,1546.83,ok
2021-08-31,1572.14,ok
2021-09-30,1597.34,ok
2021-10-31,1618.99,ok
2021-11-30,1637.5,ok
2021-12-31,1653.81,ok
2022-01-31,1667.3,ok
2022-02-28,1680.62,ok
2022-03-31,1691.66,ok
2022-04-30,1706.53,ok
2022-05-31,1719.82,ok
2022-06-30,1733.45,ok
2022-07-31,1743.5,ok
2022-08-31,1750.74,ok
2022-09-30,1755.88,ok
2022-10-31,1759.86,ok
2022-11-30,1764.21,ok
2022-12-31,1769.42,ok
2023-01-31,1774.56,ok
2023-02-28,1779.82,ok
2023-03-31,1787.61,ok
2023-04-30,1792.38,ok
2023-05-31,1796.8,ok
2023-06-30,1797.32,ok
2023-07-31,1800.53,ok
2023-08-31,1804.13,ok
2023-09-30,1807.99,ok
2023-10-31,1812.42,ok
2023-11-30,1816.58,ok
2023-12-31,1821.43,ok
2024-01-31,1826.58,ok
2024-02-29,1831.63,ok
2024-03-31,1835.87,ok
2024-04-30,1840.21,ok
2024-05-31,1844.63,ok
2024-06-30,1849.46,ok
2024-07-31,1853.37,ok
2024-08-31,1856.85,ok
2024-09-30,1860.58,ok
2024-10-31,1864.09,ok
2024-11-30,1868.78,ok
2024-12-31,1873.1,ok
2025-01-31,1878.38,ok
2025-02-28,1882.8,ok
2025-03-31,1887,ok
2025-04-30,1889.83,ok
2025-05-31,1891.84,ok
2025-06-30,1893.86,ok
2025-07-31,1895.47,ok
2025-08-31,1897.69,ok
2025-09-30,1901.36,ok
2025-10-31,1905.18,ok
2025-11-30,1908.19,ok
2025-12-31,1911,ok
2026-01-31,1913.02,ok
2026-02-28,1915.76,ok
2026-03-31,1918.69,ok
2026-04-30,1923.26,ok
2026-05-31,1928.68,ok
2026-06-30,1934.82,ok
2026-07-31,1941.43,ok
2026-08-31,1947.97,ok
